unitary
"Operator([[0.85030065-0.2171174j , 0.12386665+0.46314782j],
          [0.11334168+0.46583528j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.44512291+0.17808548j],
          [-0.30525338+0.369688j  ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.44553831+0.17704368j],
          [ 0.47587591-0.058232j  ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.37368414-0.30034814j],
          [ 0.18394412-0.44273402j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.34839394+0.32934861j],
          [ 0.46364258+0.12200164j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.85030065-0.2171174j , 0.11861178+0.46452136j],
          [0.11861178+0.46452136j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.42892454+0.21417887j],
          [-0.27373387+0.39359702j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
