unitary
"Operator([[ 0.3281926 -0.21658843j, -0.11492492-0.91223425j],
          [-0.79355858-0.46437469j,  0.3281926 -0.21658843j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.3281926 -0.21658843j, 0.50643866+0.76739752j],
          [0.50643866+0.76739752j, 0.3281926 -0.21658843j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.3281926 -0.21658843j, 0.50643866+0.76739752j],
          [0.50643866+0.76739752j, 0.3281926 -0.21658843j]],
         input_dims=(2,), output_dims=(2,))"
