unitary
"Operator([[ 0.85030065-0.2171174j , -0.33656426-0.34142839j],
          [ 0.13167344-0.4609891j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.3076024 +0.36773579j],
          [ 0.44624843+0.17524607j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.45920565-0.13776435j],
          [ 0.33694312-0.34105451j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.43174072-0.20844375j],
          [-0.47882139+0.02406092j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.28146869-0.38810337j],
          [-0.43307868-0.20564947j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.39149921+0.27672589j],
          [ 0.47624234+0.0551551j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.35596577+0.32114984j],
          [-0.15842192+0.45249458j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
