unitary
"Operator([[0.91419891-0.17344969j, 0.06827441+0.35985299j],
          [0.06827441+0.35985299j, 0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j,  0.13425968-0.34077838j],
          [-0.24974741-0.26792125j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.36414971-0.03937703j],
          [ 0.32442136-0.17001867j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.34801381+0.11420137j],
          [ 0.36565833-0.02120265j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.10842267-0.34985724j],
          [-0.02725497-0.36525708j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.25844323+0.25954318j],
          [ 0.33554693+0.14684626j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.17341773-0.3226172j ],
          [ 0.04320071-0.36371591j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.91419891-0.17344969j, -0.33697292+0.14354379j],
          [ 0.36613201+0.01014467j,  0.91419891-0.17344969j]],
         input_dims=(2,), output_dims=(2,))"
