unitary
"Operator([[0.94460909-0.1427637j , 0.04413621+0.29220573j],
          [0.04418777+0.29219794j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29507633+0.01619112j],
          [-0.27711238+0.10266898j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.04318971-0.29234713j],
          [-0.04513378-0.29205331j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.08445922+0.28319398j],
          [ 0.16437652+0.24558614j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.28289844-0.08544395j],
          [ 0.24501279-0.16522992j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
