unitary
"Operator([[ 0.94460909-0.1427637j , -0.16612984+0.24440349j],
          [ 0.23093607+0.18439285j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.0773563 +0.28521605j],
          [ 0.1581884 +0.24961695j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.26957094+0.12109377j],
          [ 0.29331661+0.03602163j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29546719+0.00559762j],
          [-0.28061638+0.09266413j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29365396-0.03315935j],
          [-0.2903376 +0.05510234j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
