,unitary
0,"Operator([[ 0.92502524-0.16355243j, -0.20133566-0.27756596j],
          [ 0.09395246-0.32977544j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.92502524-0.16355243j, -0.12571868-0.31901994j],
          [ 0.00870546-0.34278728j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j,  0.25850458-0.22528713j],
          [-0.32008261-0.12298793j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j,  0.15386848-0.30643661j],
          [-0.24961629-0.23509703j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.92502524-0.16355243j,  0.30316292-0.16022219j],
          [-0.33972281-0.04655445j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j,  0.25688547-0.2271316j ],
          [-0.31919412-0.12527576j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.92502524-0.16355243j,  0.07010601-0.33565466j],
          [-0.18095092-0.29126563j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.92502524-0.16355243j,  0.04883695-0.33940221j],
          [-0.16225637-0.30207909j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.92502524-0.16355243j, -0.34281496+0.00753735j],
          [ 0.32461556-0.11047012j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j,  0.30848015+0.14972943j],
          [-0.23843594+0.24642891j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
