unitary
"Operator([[ 9.32123565e-01-0.3371526j ,  2.52288575e-02+0.1293585j ,
           -1.00705999e-02+0.00142954j, -8.65582110e-05-0.0004444j ],
          [ 2.52288575e-02+0.1293585j ,  9.78758589e-01-0.03676126j,
            5.78816283e-03+0.15222731j, -1.00705999e-02+0.00142954j],
          [-1.00705999e-02+0.00142954j,  5.78816283e-03+0.15222731j,
            9.78758589e-01-0.03676126j,  2.52288575e-02+0.1293585j ],
          [-8.65582110e-05-0.0004444j , -1.00705999e-02+0.00142954j,
            2.52288575e-02+0.1293585j ,  9.32123565e-01-0.3371526j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-0.3371526j ,  2.52288575e-02+0.1293585j ,
           -1.00705999e-02+0.00142954j, -8.65582110e-05-0.0004444j ],
          [ 2.52288575e-02+0.1293585j ,  9.78758589e-01-0.03676126j,
            5.78816283e-03+0.15222731j, -1.00705999e-02+0.00142954j],
          [-1.00705999e-02+0.00142954j,  5.78816283e-03+0.15222731j,
            9.78758589e-01-0.03676126j,  2.52288575e-02+0.1293585j ],
          [-8.65582110e-05-0.0004444j , -1.00705999e-02+0.00142954j,
            2.52288575e-02+0.1293585j ,  9.32123565e-01-0.3371526j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-0.3371526j ,  2.52288575e-02+0.1293585j ,
           -1.00705999e-02+0.00142954j, -8.65582110e-05-0.0004444j ],
          [ 2.52288575e-02+0.1293585j ,  9.78758589e-01-0.03676126j,
            5.78816283e-03+0.15222731j, -1.00705999e-02+0.00142954j],
          [-1.00705999e-02+0.00142954j,  5.78816283e-03+0.15222731j,
            9.78758589e-01-0.03676126j,  2.52288575e-02+0.1293585j ],
          [-8.65582110e-05-0.0004444j , -1.00705999e-02+0.00142954j,
            2.52288575e-02+0.1293585j ,  9.32123565e-01-0.3371526j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-3.37152602e-01j,
            6.46877264e-02+1.14828629e-01j,
           -7.21791364e-03+7.16674914e-03j,
           -4.13917751e-04-1.83446353e-04j],
          [-1.67980790e-02+1.30720849e-01j,
            9.78758589e-01-3.67612587e-02j,
            5.34392634e-02+1.42656590e-01j,
           -7.21791364e-03+7.16674914e-03j],
          [-8.92725063e-03-4.87491198e-03j,
           -4.24521200e-02+1.46302683e-01j,
            9.78758589e-01-3.67612587e-02j,
            6.46877264e-02+1.14828629e-01j],
          [ 3.14808973e-04-3.25385586e-04j,
           -8.92725063e-03-4.87491198e-03j,
           -1.67980790e-02+1.30720849e-01j,
            9.32123565e-01-3.37152602e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-3.37152602e-01j,
            8.53529116e-02+1.00424083e-01j,
           -4.01816972e-03+9.34424329e-03j,
           -4.47173222e-04+7.08278079e-05j],
          [-4.13615582e-02+1.25137274e-01j,
            9.78758589e-01-3.67612587e-02j,
            7.96043154e-02+1.29883835e-01j,
           -4.01816972e-03+9.34424329e-03j],
          [-6.45989963e-03-7.85686117e-03j,
           -6.95115430e-02+1.35553691e-01j,
            9.78758589e-01-3.67612587e-02j,
            8.53529116e-02+1.00424083e-01j],
          [ 4.41066366e-04-1.02180868e-04j,
           -6.45989963e-03-7.85686117e-03j,
           -4.13615582e-02+1.25137274e-01j,
            9.32123565e-01-3.37152602e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-3.37152602e-01j,
            9.90236049e-02+8.69737984e-02j,
           -1.16540202e-03+1.01045737e-02j,
           -3.75192923e-04+2.53398381e-04j],
          [-5.90845646e-02+1.17809720e-01j,
            9.78758589e-01-3.67612587e-02j,
            9.76113004e-02+1.16955939e-01j,
           -1.16540202e-03+1.01045737e-02j],
          [-3.93142653e-03-9.38106903e-03j,
           -8.84482351e-02+1.24030510e-01j,
            9.78758589e-01-3.67612587e-02j,
            9.90236049e-02+8.69737984e-02j],
          [ 4.42869563e-04+9.40585929e-05j,
           -3.93142653e-03-9.38106903e-03j,
           -5.90845646e-02+1.17809720e-01j,
            9.32123565e-01-3.37152602e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-3.37152602e-01j,
            1.08123029e-01+7.53626330e-02j,
            1.10802611e-03+1.01110261e-02j,
           -2.70676133e-04+3.62925474e-04j],
          [-7.18802312e-02+1.10468766e-01j,
            9.78758589e-01-3.67612587e-02j,
            1.10070215e-01+1.05314792e-01j,
            1.10802611e-03+1.01110261e-02j],
          [-1.74960511e-03-1.00199527e-02j,
           -1.01755165e-01+1.13369062e-01j,
            9.78758589e-01-3.67612587e-02j,
            1.08123029e-01+7.53626330e-02j],
          [ 3.87100441e-04+2.34805702e-04j,
           -1.74960511e-03-1.00199527e-02j,
           -7.18802312e-02+1.10468766e-01j,
            9.32123565e-01-3.37152602e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-0.3371526j ,  1.15627006e-01+0.0632496j ,
            3.25254292e-03+0.00963751j, -1.40835414e-04+0.00043029j],
          [-8.33859620e-02+0.1020632j ,  9.78758589e-01-0.03676126j,
            1.20796344e-01+0.09281649j,  3.25254292e-03+0.00963751j],
          [ 4.41971886e-04-0.01016195j, -1.13399401e-01+0.10172135j,
            9.78758589e-01-0.03676126j,  1.15627006e-01+0.0632496j ],
          [ 2.92032799e-04+0.00034597j,  4.41971886e-04-0.01016195j,
           -8.33859620e-02+0.1020632j ,  9.32123565e-01-0.3371526j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-0.3371526j ,  2.52288575e-02+0.1293585j ,
           -1.00705999e-02+0.00142954j, -8.65582110e-05-0.0004444j ],
          [ 2.52288575e-02+0.1293585j ,  9.78758589e-01-0.03676126j,
            5.78816283e-03+0.15222731j, -1.00705999e-02+0.00142954j],
          [-1.00705999e-02+0.00142954j,  5.78816283e-03+0.15222731j,
            9.78758589e-01-0.03676126j,  2.52288575e-02+0.1293585j ],
          [-8.65582110e-05-0.0004444j , -1.00705999e-02+0.00142954j,
            2.52288575e-02+0.1293585j ,  9.32123565e-01-0.3371526j ]],
         input_dims=(2, 2), output_dims=(2, 2))"
"Operator([[ 9.32123565e-01-3.37152602e-01j,
            1.28114806e-01-3.09307696e-02j,
            9.90468103e-03-2.31470609e-03j,
            4.29014771e-04-1.44660968e-04j],
          [-1.30348547e-01+1.94774778e-02j,
            9.78758589e-01-3.67612587e-02j,
            1.51821833e-01-1.25215270e-02j,
            9.90468103e-03-2.31470609e-03j],
          [ 1.01575736e-02-5.33169592e-04j,
           -1.52334312e-01-9.56550495e-04j,
            9.78758589e-01-3.67612587e-02j,
            1.28114806e-01-3.09307696e-02j],
          [-4.51946065e-04+2.69299735e-05j,
            1.01575736e-02-5.33169592e-04j,
           -1.30348547e-01+1.94774778e-02j,
            9.32123565e-01-3.37152602e-01j]],
         input_dims=(2, 2), output_dims=(2, 2))"
