unitary
"Operator([[ 0.85030065-0.2171174j , -0.45751197-0.14328868j],
          [ 0.33280827-0.34509057j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47558906-0.06053011j],
          [-0.44638835+0.17488937j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.38493238+0.28578997j],
          [-0.20079494+0.43535071j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.23225751+0.41941065j],
          [-0.00274896+0.47941766j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.25748363+0.40441442j],
          [ 0.41984975+0.23146282j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.29999801+0.37396529j],
          [ 0.44256154+0.18435871j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46955616-0.09677737j],
          [ 0.36567676-0.31004734j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46931412-0.09794438j],
          [ 0.36490485-0.31095546j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
