num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,1.0,1.0,20.0,3.0,4.0,-0.5612091264014573
1.0,1.0,1.0,20.0,4.0,4.0,-0.536355011834129
1.0,1.0,1.0,20.0,5.0,4.0,-0.5363550118351168
1.0,1.0,1.0,20.0,6.0,4.0,-0.5363550118345298
1.0,1.0,1.0,20.0,7.0,4.0,-0.5363550118351166
1.0,1.0,1.0,20.0,8.0,4.0,-0.5612091264014418
1.0,1.0,1.0,20.0,9.0,4.0,-0.5363550118351166
1.0,1.0,1.0,20.0,0.0,5.0,-0.7913418692111621
1.0,1.0,1.0,20.0,1.0,5.0,-0.7913418692111178
1.0,1.0,1.0,20.0,2.0,5.0,-0.7913418692111619
1.0,1.0,1.0,20.0,3.0,5.0,-0.22863043287285184
1.0,1.0,1.0,20.0,4.0,5.0,-0.7913418692111615
1.0,1.0,1.0,20.0,5.0,5.0,-0.7913418692111579
1.0,1.0,1.0,20.0,6.0,5.0,-0.7913418692111001
1.0,1.0,1.0,20.0,7.0,5.0,-0.7913418691822836
1.0,1.0,1.0,20.0,8.0,5.0,-0.7913418692106907
1.0,1.0,1.0,20.0,9.0,5.0,-0.7913418692111617
1.0,1.0,1.0,20.0,0.0,6.0,-0.3840169215426745
1.0,1.0,1.0,20.0,1.0,6.0,-0.33115841663517753
1.0,1.0,1.0,20.0,2.0,6.0,-0.33115841662214013
1.0,1.0,1.0,20.0,3.0,6.0,-0.33115841663437406
1.0,1.0,1.0,20.0,4.0,6.0,-0.384016921542664
1.0,1.0,1.0,20.0,5.0,6.0,-0.3840169215426747
1.0,1.0,1.0,20.0,6.0,6.0,-0.33115841663605383
1.0,1.0,1.0,20.0,7.0,6.0,-0.38401692154267425
1.0,1.0,1.0,20.0,8.0,6.0,-0.33115841663570844
1.0,1.0,1.0,20.0,9.0,6.0,-0.38401692154267375
1.0,1.0,1.0,20.0,0.0,7.0,-0.30313668861449794
1.0,1.0,1.0,20.0,1.0,7.0,-0.3031366886144996
1.0,1.0,1.0,20.0,2.0,7.0,-0.30313668861154575
1.0,1.0,1.0,20.0,3.0,7.0,-0.0719511339489143
1.0,1.0,1.0,20.0,4.0,7.0,-0.11803418326337177
1.0,1.0,1.0,20.0,5.0,7.0,-0.11803418326368106
1.0,1.0,1.0,20.0,6.0,7.0,-0.3031366886142054
1.0,1.0,1.0,20.0,7.0,7.0,-0.30313668861449977
1.0,1.0,1.0,20.0,8.0,7.0,-0.1180341832649899
1.0,1.0,1.0,20.0,9.0,7.0,-0.11803418324423626
1.0,1.0,1.0,20.0,0.0,8.0,-0.8122594638754647
1.0,1.0,1.0,20.0,1.0,8.0,-0.8122594639008519
1.0,1.0,1.0,20.0,2.0,8.0,-0.45609668994372693
1.0,1.0,1.0,20.0,3.0,8.0,-0.4560966899449255
1.0,1.0,1.0,20.0,4.0,8.0,-0.23461982825077146
1.0,1.0,1.0,20.0,5.0,8.0,-0.45609668994501373
1.0,1.0,1.0,20.0,6.0,8.0,-0.8122594638997527
1.0,1.0,1.0,20.0,7.0,8.0,-0.8122594638922787
1.0,1.0,1.0,20.0,8.0,8.0,-0.45609668994500335
1.0,1.0,1.0,20.0,9.0,8.0,-0.8122594639008525
1.0,1.0,1.0,20.0,0.0,9.0,-0.3582915960245652
1.0,1.0,1.0,20.0,1.0,9.0,-0.3582915960194582
1.0,1.0,1.0,20.0,2.0,9.0,-0.5927808145538397
1.0,1.0,1.0,20.0,3.0,9.0,-0.5927808145580026
1.0,1.0,1.0,20.0,4.0,9.0,-0.21021836903471536
1.0,1.0,1.0,20.0,5.0,9.0,-0.35829159602456506
1.0,1.0,1.0,20.0,6.0,9.0,-0.3582915960245648
1.0,1.0,1.0,20.0,7.0,9.0,-0.35829159601021643
1.0,1.0,1.0,20.0,8.0,9.0,-0.5927808145453274
1.0,1.0,1.0,20.0,9.0,9.0,-0.35829159601865385
1.0,2.0,1.0,20.0,0.0,0.0,-0.30606687981554087
1.0,2.0,1.0,20.0,1.0,0.0,-0.2196774742758709
1.0,2.0,1.0,20.0,2.0,0.0,-0.4959271911385268
1.0,2.0,1.0,20.0,3.0,0.0,-0.4959271908606039
