unitary
"Operator([[ 0.85030065-0.2171174j , -0.17354392+0.44691314j],
          [ 0.36656069+0.3090018j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.47116797-0.08859793j],
          [-0.4559649 +0.14813795j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47938545-0.00619981j],
          [ 0.41772796-0.23527048j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.42796539+0.21608904j],
          [ 0.47917357-0.01554156j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46248062-0.12633497j],
          [ 0.34529672-0.33259438j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.3947621 +0.27205097j],
          [ 0.47686452+0.04948815j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.41578594+0.23868578j],
          [ 0.47931855+0.01012809j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.07007358+0.47427686j],
          [ 0.28887579+0.38262204j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
