,unitary
0,"Operator([[ 0.92502524-0.16355243j,  0.16556852+0.30027649j],
          [-0.0525664 +0.33884462j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.92502524-0.16355243j,  0.33037535-0.09182067j],
          [-0.34183069+0.02703115j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j, -0.30462361+0.15742732j],
          [ 0.34013659+0.04342816j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j, -0.3250037 -0.10932294j],
          [ 0.26781301-0.21413804j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.92502524-0.16355243j, 0.09921311+0.32823111j],
          [0.01935164+0.34235131j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j, -0.22354879-0.26000932j],
          [ 0.12083901-0.32090005j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.92502524-0.16355243j, -0.17449752-0.2951771j ],
          [ 0.06270263-0.33711613j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.92502524-0.16355243j,  0.3418115 -0.0272728j ],
          [-0.33044018+0.09158709j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.92502524-0.16355243j, -0.34270858+0.01139018j],
          [ 0.32583676-0.10681439j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j,  0.25953113+0.22410377j],
          [-0.16695177+0.29950962j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
