,unitary
0,"Operator([[ 0.9318629 -0.1567647j , -0.12382734+0.30285831j],
          [ 0.21610514+0.24567242j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j ,  0.32655146+0.02050648j],
          [-0.30186746+0.12622364j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j , -0.27374407-0.17922208j],
          [ 0.20003585-0.25892476j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j , -0.29601895+0.13938848j],
          [ 0.32533234+0.03486028j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j , -0.30249633-0.12470902j],
          [ 0.24504188-0.21681985j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j , -0.21431614+0.24723463j],
          [ 0.28341339+0.16350297j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.31920153+0.07188014j],
          [ 0.3251505 -0.03651741j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j , -0.22237087+0.24001576j],
          [ 0.28866279+0.15404599j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9318629 -0.1567647j ,  0.16757047+0.28102759j],
          [-0.06639615+0.32038714j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j ,  0.04847459-0.32358397j],
          [-0.15168136-0.28991229j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
