,unitary
0,"Operator([[ 0.91550144-0.33202896j,  0.00581895+0.22558135j,
           -0.02627402-0.00166028j],
          [ 0.07077785+0.21426922j,  0.94769303+0.00602534j,
            0.00581895+0.22558135j],
          [-0.02280211+0.01315844j,  0.07077785+0.21426922j,
            0.91550144-0.33202896j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 8.95823378e-01-0.32741083j, -2.19688956e-01-0.19968349j,
           -8.93056428e-04+0.04653056j],
          [ 1.39256800e-01-0.2621913j ,  9.07531487e-01+0.0106365j ,
           -2.19688956e-01-0.19968349j],
          [-2.14823682e-02-0.04128436j,  1.39256800e-01-0.2621913j ,
            8.95823378e-01-0.32741083j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.90925956-0.33056483j, -0.04701561+0.24635688j,
           -0.02885798-0.01545882j],
          [ 0.12752508+0.21596188j,  0.9349543 +0.00748938j,
           -0.04701561+0.24635688j],
          [-0.01898511+0.02667066j,  0.12752508+0.21596188j,
            0.90925956-0.33056483j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.91239257-0.33129981j, -0.07980793+0.22480993j,
           -0.0206319 -0.02111242j],
          [ 0.15110343+0.18459839j,  0.94134837+0.00675469j,
           -0.07980793+0.22480993j],
          [-0.0091051 +0.02808037j,  0.15110343+0.18459839j,
            0.91239257-0.33129981j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 8.95778603e-01-0.32740032j,  1.98576907e-01-0.22087726j,
            3.86384206e-04-0.04658352j],
          [-2.61551546e-01-0.14074922j,  9.07440100e-01+0.01064697j,
            1.98576907e-01-0.22087726j],
          [ 2.10520707e-02+0.04155699j, -2.61551546e-01-0.14074922j,
            8.95778603e-01-0.32740032j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.92131577-0.3333922j , -0.12998262-0.15072194j,
           -0.00527661+0.01965858j],
          [ 0.07138183-0.1857881j ,  0.95955881+0.00466042j,
           -0.12998262-0.15072194j],
          [-0.01345838-0.01527005j,  0.07138183-0.1857881j ,
            0.92131577-0.3333922j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 9.38098352e-01-3.37323829e-01j,
            2.57026412e-02+7.42547747e-02j,
           -2.65510452e-03+1.63370315e-03j],
          [ 9.11046511e-04+7.85720518e-02j,
            9.93806166e-01+7.14617797e-04j,
            2.57026412e-02+7.42547747e-02j],
          [-3.10436952e-03-2.85404697e-04j,
            9.11046511e-04+7.85720518e-02j,
            9.38098352e-01-3.37323829e-01j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.91238883-0.33129894j, -0.19064613+0.14342264j,
            0.01137498-0.02724421j],
          [ 0.2279053 +0.07053493j,  0.94134072+0.00675557j,
           -0.19064613+0.14342264j],
          [ 0.02229404+0.01935491j,  0.2279053 +0.07053493j,
            0.91238883-0.33129894j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.92674232-0.33466399j,  0.0640127 +0.1575836j ,
           -0.01170454+0.00902645j],
          [-0.00697583+0.16994574j,  0.97063284+0.00338556j,
            0.0640127 +0.1575836j ],
          [-0.01449545-0.0028905j , -0.00697583+0.16994574j,
            0.92674232-0.33466399j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.88781656-0.32552979j,  0.18668371-0.26069564j,
           -0.0116003 -0.05352122j],
          [-0.26381843-0.18224395j,  0.8911888 +0.01250903j,
            0.18668371-0.26069564j],
          [ 0.01340538+0.05309787j, -0.26381843-0.18224395j,
            0.88781656-0.32552979j]],
         input_dims=(3,), output_dims=(3,))"
