unitary
"Operator([[0.87775053-0.20089548j, 0.06135763+0.43061614j],
          [0.13205388+0.41443551j, 0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j,  0.41622712+0.12629332j],
          [-0.31985726+0.29476491j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.34708171-0.26216274j],
          [ 0.19849696-0.38703226j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.14162617+0.41126274j],
          [ 0.306412  +0.30871784j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.87775053-0.20089548j, -0.37563143-0.21930811j],
          [ 0.24284476-0.36086208j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
