,unitary
0,"Operator([[ 0.9318629 -0.1567647j , -0.10939521+0.30836514j],
          [ 0.2042692 +0.25559825j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j , -0.29428714-0.14300857j],
          [ 0.23129703-0.23142613j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j , -0.23038317-0.23233589j],
          [ 0.14168311-0.29492756j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.9318629 -0.1567647j , 0.06183972+0.32129771j],
          [0.04669104+0.32384613j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j , -0.23063985-0.23208108j],
          [ 0.14200903-0.29477076j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.12835737-0.30096637j],
          [ 0.02281759-0.32639811j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.9318629 -0.1567647j , 0.05428033+0.32266084j],
          [0.05428033+0.32266084j, 0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j , -0.32531198+0.03504978j],
          [ 0.31887392-0.07331982j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
