,unitary
0,"Operator([[ 9.32394732e-01-0.33598819j,  8.86330116e-02-0.09907387j,
            3.31229270e-05-0.00897532j],
          [-1.16905898e-01-0.06328076j,  9.82167442e-01+0.00205662j,
            8.86330116e-02-0.09907387j],
          [ 4.01433975e-03+0.00802761j, -1.16905898e-01-0.06328076j,
            9.32394732e-01-0.33598819j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.88495885-0.32485814j,  0.26887039+0.18892989j,
            0.01322816+0.0561627j ],
          [-0.18917819+0.26869574j,  0.88535574+0.01317682j,
            0.26887039+0.18892989j],
          [-0.01312438-0.05618705j, -0.18917819+0.26869574j,
            0.88495885-0.32485814j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 9.37779909e-01-0.33724927j,  2.83487874e-02+0.07756451j,
           -2.86993981e-03+0.00190477j],
          [-4.60527946e-04+0.08258144j,  9.93156364e-01+0.00078957j,
            2.83487874e-02+0.07756451j],
          [-3.41720200e-03-0.00043292j, -4.60527946e-04+0.08258144j,
            9.37779909e-01-0.33724927j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.91373816-0.33161543j,  0.22606832-0.05670259j,
            0.02616331-0.0103539j ],
          [-0.23192795+0.02305416j,  0.94409449+0.00643905j,
            0.22606832-0.05670259j],
          [ 0.02803956-0.00234624j, -0.23192795+0.02305416j,
            0.91373816-0.33161543j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.9134832 -3.31555628e-01j, -0.2336708 +1.45167264e-02j,
            0.02839817-2.67517202e-04j],
          [ 0.22482263-6.53265928e-02j,  0.94357417+6.49885787e-03j,
           -0.2336708 +1.45167264e-02j],
          [ 0.02556111-1.23756623e-02j,  0.22482263-6.53265928e-02j,
            0.9134832 -3.31555628e-01j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.89922223-0.32820898j,  0.25925246+0.12088548j,
            0.02372129+0.03592235j],
          [-0.20312779+0.20140566j,  0.91446863+0.00984096j,
            0.25925246+0.12088548j],
          [ 0.00528441-0.04272224j, -0.20312779+0.20140566j,
            0.89922223-0.32820898j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.90556958-0.32969896j,  0.15676226+0.21291697j,
           -0.01476455+0.03341105j],
          [-0.07556099+0.25337439j,  0.92742338+0.00835427j,
            0.15676226+0.21291697j],
          [-0.02807298-0.02337088j, -0.07556099+0.25337439j,
            0.90556958-0.32969896j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 9.40723796e-01-3.37938457e-01j,
            2.48726119e-02-1.47483971e-02j,
            2.42999920e-04-3.43832240e-04j],
          [-2.83939203e-02-5.47241540e-03j,
            9.99163483e-01+9.65313042e-05j,
            2.48726119e-02-1.47483971e-02j],
          [ 3.70359927e-04+2.00257572e-04j,
           -2.83939203e-02-5.47241540e-03j,
            9.40723796e-01-3.37938457e-01j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.91321434-0.33149257j, -0.22319975-0.07424166j,
            0.02084639+0.01969053j],
          [ 0.18496458-0.14532053j,  0.94302547+0.00656193j,
           -0.22319975-0.07424166j],
          [ 0.00992928-0.02690164j,  0.18496458-0.14532053j,
            0.91321434-0.33149257j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.90561163-0.32970883j,  0.08892701-0.24883832j,
           -0.02539156-0.02619933j],
          [-0.16780813-0.20412975j,  0.9275092 +0.00834442j,
            0.08892701-0.24883832j],
          [-0.01110561+0.03475344j, -0.16780813-0.20412975j,
            0.90561163-0.32970883j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.91573205-3.32083045e-01j,  0.21150219-7.57747773e-02j,
            0.02191743-1.41524234e-02j],
          [-0.22466633+1.80820639e-04j,  0.94816368+5.97122003e-03j,
            0.21150219-7.57747773e-02j],
          [ 0.02592293+2.94388618e-03j, -0.22466633+1.80820639e-04j,
            0.91573205-3.32083045e-01j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.9126442 -0.33135884j, -0.2083132 +0.11415464j,
            0.0184641 -0.02270011j],
          [ 0.23463878+0.03701776j,  0.94186189+0.00669567j,
           -0.2083132 +0.11415464j],
          [ 0.02662646+0.01213463j,  0.23463878+0.03701776j,
            0.9126442 -0.33135884j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 9.29622848e-01-0.33533888j,  1.32279229e-01+0.07557533j,
            4.79744282e-03+0.01080515j],
          [-9.89453832e-02+0.11584143j,  9.76511041e-01+0.00270845j,
            1.32279229e-01+0.07557533j],
          [-4.98811852e-04-0.01181177j, -9.89453832e-02+0.11584143j,
            9.29622848e-01-0.33533888j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 0.90021807-0.32844279j, -0.25900522-0.11350314j,
            0.02476532+0.03395248j],
          [ 0.20539058-0.19437431j,  0.91650115+0.0096078j ,
           -0.25900522-0.11350314j],
          [ 0.00709583-0.0414215j ,  0.20539058-0.19437431j,
            0.90021807-0.32844279j]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.91553494-0.33203682j, -0.11737996-0.1925565j ,
           -0.01464107+0.02183826j],
          [ 0.04537952-0.22089988j,  0.9477614 +0.00601747j,
           -0.11737996-0.1925565j ],
          [-0.0228179 -0.01306192j,  0.04537952-0.22089988j,
            0.91553494-0.33203682j]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.88932999-0.32588543j, -0.25369843-0.18893578j,
            0.00932134+0.05238644j],
          [ 0.17489736-0.26357264j,  0.89427792+0.01215525j,
           -0.25369843-0.18893578j],
          [-0.01494088-0.05106855j,  0.17489736-0.26357264j,
            0.88932999-0.32588543j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 0.93926991-0.33759811j,  0.01057001+0.06069735j,
           -0.00186384+0.00043631j],
          [ 0.01057001+0.06069735j,  0.99619678+0.00043884j,
            0.01057001+0.06069735j],
          [-0.00186384+0.00043631j,  0.01057001+0.06069735j,
            0.93926991-0.33759811j]],
         input_dims=(3,), output_dims=(3,))"
