num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
1.0,1.0,1.0,20.0,9.0,4.0,-0.6469450469023633
1.0,1.0,1.0,20.0,0.0,5.0,-0.7639363634774086
1.0,1.0,1.0,20.0,1.0,5.0,-0.7639363634769327
1.0,1.0,1.0,20.0,2.0,5.0,-0.7639363634784859
1.0,1.0,1.0,20.0,3.0,5.0,-0.11117088240718626
1.0,1.0,1.0,20.0,4.0,5.0,-0.7639363634784494
1.0,1.0,1.0,20.0,5.0,5.0,-0.7639363634784841
1.0,1.0,1.0,20.0,6.0,5.0,-0.7639363634784678
1.0,1.0,1.0,20.0,7.0,5.0,-0.7639363634784878
1.0,1.0,1.0,20.0,8.0,5.0,-0.7639363634781657
1.0,1.0,1.0,20.0,9.0,5.0,-0.7639363634784454
1.0,1.0,1.0,20.0,0.0,6.0,-0.37082756150757307
1.0,1.0,1.0,20.0,1.0,6.0,-0.1539853517326693
1.0,1.0,1.0,20.0,2.0,6.0,-0.15398535173322217
1.0,1.0,1.0,20.0,3.0,6.0,-0.3277887462504109
1.0,1.0,1.0,20.0,4.0,6.0,-0.37082756150865126
1.0,1.0,1.0,20.0,5.0,6.0,-0.3708275615086499
1.0,1.0,1.0,20.0,6.0,6.0,-0.15398535163875504
1.0,1.0,1.0,20.0,7.0,6.0,-0.15398535173330485
1.0,1.0,1.0,20.0,8.0,6.0,-0.15398535173329395
1.0,1.0,1.0,20.0,9.0,6.0,-0.3708275615067159
1.0,1.0,1.0,20.0,0.0,7.0,-0.707235961411388
1.0,1.0,1.0,20.0,1.0,7.0,-0.7072359614460452
1.0,1.0,1.0,20.0,2.0,7.0,-0.19985646441940152
1.0,1.0,1.0,20.0,3.0,7.0,-0.19985646442647462
1.0,1.0,1.0,20.0,4.0,7.0,-0.7072359614508014
1.0,1.0,1.0,20.0,5.0,7.0,-0.7072359614527929
1.0,1.0,1.0,20.0,6.0,7.0,-0.7072359614545786
1.0,1.0,1.0,20.0,7.0,7.0,-0.7072359614143143
1.0,1.0,1.0,20.0,8.0,7.0,-0.19985646442683425
1.0,1.0,1.0,20.0,9.0,7.0,-0.7072359614545788
1.0,1.0,1.0,20.0,0.0,8.0,-0.8187754071627444
1.0,1.0,1.0,20.0,1.0,8.0,-0.8187754071664389
1.0,1.0,1.0,20.0,2.0,8.0,-0.33401904502326
1.0,1.0,1.0,20.0,3.0,8.0,-0.33401904502326
1.0,1.0,1.0,20.0,4.0,8.0,-0.8187754071649131
1.0,1.0,1.0,20.0,5.0,8.0,-0.8187754071657265
1.0,1.0,1.0,20.0,6.0,8.0,-0.8187754071663871
1.0,1.0,1.0,20.0,7.0,8.0,-0.8187754071348119
1.0,1.0,1.0,20.0,8.0,8.0,-0.8187754071665769
1.0,1.0,1.0,20.0,9.0,8.0,-0.8187754071665384
1.0,1.0,1.0,20.0,0.0,9.0,-0.25443833395269794
1.0,1.0,1.0,20.0,1.0,9.0,-0.4706093819151856
1.0,1.0,1.0,20.0,2.0,9.0,-0.4706093819157897
1.0,1.0,1.0,20.0,3.0,9.0,-0.4706093818977421
1.0,1.0,1.0,20.0,4.0,9.0,-0.25443833397229293
1.0,1.0,1.0,20.0,5.0,9.0,-0.25443833397165017
1.0,1.0,1.0,20.0,6.0,9.0,-0.4706093819091602
1.0,1.0,1.0,20.0,7.0,9.0,-0.25443833397229293
1.0,1.0,1.0,20.0,8.0,9.0,-0.4706093819156016
1.0,1.0,1.0,20.0,9.0,9.0,-0.25443833397228777
1.0,2.0,1.0,20.0,0.0,0.0,-0.7865943771064339
1.0,2.0,1.0,20.0,1.0,0.0,-0.7865943771050893
1.0,2.0,1.0,20.0,2.0,0.0,-0.7865943770660538
1.0,2.0,1.0,20.0,3.0,0.0,-0.7865943771064339
1.0,2.0,1.0,20.0,4.0,0.0,-0.4955879304627205
1.0,2.0,1.0,20.0,5.0,0.0,-0.4955879304627205
1.0,2.0,1.0,20.0,6.0,0.0,-0.7865943770537253
1.0,2.0,1.0,20.0,7.0,0.0,-0.7865943771064081
1.0,2.0,1.0,20.0,8.0,0.0,-0.7865943771064337
1.0,2.0,1.0,20.0,9.0,0.0,-0.4955879304627205
1.0,2.0,1.0,20.0,0.0,1.0,-0.8588437250864247
1.0,2.0,1.0,20.0,1.0,1.0,-0.8588437250868688
1.0,2.0,1.0,20.0,2.0,1.0,-0.08257013984450101
1.0,2.0,1.0,20.0,3.0,1.0,-0.4211569120354132
1.0,2.0,1.0,20.0,4.0,1.0,-0.8588437250867912
1.0,2.0,1.0,20.0,5.0,1.0,-0.8588437250758976
1.0,2.0,1.0,20.0,6.0,1.0,-0.858843725086905
1.0,2.0,1.0,20.0,7.0,1.0,-0.858843725085345
1.0,2.0,1.0,20.0,8.0,1.0,-0.08257013982037156
1.0,2.0,1.0,20.0,9.0,1.0,-0.858843725086905
1.0,2.0,1.0,20.0,0.0,2.0,-0.8402403502277871
1.0,2.0,1.0,20.0,1.0,2.0,-0.22888471410291694
1.0,2.0,1.0,20.0,2.0,2.0,-0.22888471400247828
1.0,2.0,1.0,20.0,3.0,2.0,-0.7473425566693079
1.0,2.0,1.0,20.0,4.0,2.0,-0.8402403502277866
1.0,2.0,1.0,20.0,5.0,2.0,-0.8402403502263037
1.0,2.0,1.0,20.0,6.0,2.0,-0.7473425566693079
1.0,2.0,1.0,20.0,7.0,2.0,-0.8402403502277874
1.0,2.0,1.0,20.0,8.0,2.0,-0.22888471403086186
1.0,2.0,1.0,20.0,9.0,2.0,-0.8402403502251372
1.0,2.0,1.0,20.0,0.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,1.0,3.0,-0.6819599335965355
1.0,2.0,1.0,20.0,2.0,3.0,-0.6819599335939778
1.0,2.0,1.0,20.0,3.0,3.0,-0.6819599335309727
1.0,2.0,1.0,20.0,4.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,5.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,6.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,7.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,8.0,3.0,-0.681959933595073
1.0,2.0,1.0,20.0,9.0,3.0,-0.5667785828022883
1.0,2.0,1.0,20.0,0.0,4.0,-0.8114127428503256
1.0,2.0,1.0,20.0,1.0,4.0,-0.20844090917253733
1.0,2.0,1.0,20.0,2.0,4.0,-0.8114127428503256
1.0,2.0,1.0,20.0,3.0,4.0,-0.8114127428503256
1.0,2.0,1.0,20.0,4.0,4.0,-0.8217604955113078
1.0,2.0,1.0,20.0,5.0,4.0,-0.8217604955113086
1.0,2.0,1.0,20.0,6.0,4.0,-0.20844090915019642
1.0,2.0,1.0,20.0,7.0,4.0,-0.8114127428503256
1.0,2.0,1.0,20.0,8.0,4.0,-0.20844090917258143
1.0,2.0,1.0,20.0,9.0,4.0,-0.8217604955112802
1.0,2.0,1.0,20.0,0.0,5.0,-0.4537438785987231
1.0,2.0,1.0,20.0,1.0,5.0,-0.45374387866299787
1.0,2.0,1.0,20.0,2.0,5.0,-0.4537438786804351
