unitary
"Operator([[ 0.94460909-0.1427637j , -0.21576598+0.20193374j],
          [ 0.26580462+0.12915146j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.15578437-0.25112432j],
          [ 0.07461418-0.28594565j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.15462435+0.25184024j],
          [ 0.22214216+0.19489755j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.25623508+0.14722695j],
          [-0.20128219+0.21637392j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.07250473-0.28648779j],
          [-0.01539651-0.29511886j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
