unitary
"Operator([[0.97517033-0.0978434j , 0.03109436+0.19622091j],
          [0.00850854+0.19848705j, 0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.19324046-0.04612622j],
          [-0.19855238-0.00681581j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19849079+0.0084208j ],
          [ 0.19620714-0.03118109j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.16080495-0.11666735j],
          [ 0.13442133-0.14628878j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.0472152 +0.19297727j],
          [-0.00793538+0.19851079j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
