,unitary
0,"Operator([[ 0.77897783-0.47086054j, -0.29887368-0.27170698j,
           -0.00720188+0.09100472j],
          [ 0.12193291-0.3850747j ,  0.82018239+0.03163121j,
           -0.29887368-0.27170698j],
          [-0.06441909-0.06468313j,  0.12193291-0.3850747j ,
            0.77897783-0.47086054j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.82243587-0.48686005j,  0.17364561-0.23321784j,
           -0.0052085 -0.04467701j],
          [-0.26730231-0.11442393j,  0.91141031+0.01563721j,
            0.17364561-0.23321784j],
          [ 0.0249182 +0.03744659j, -0.26730231-0.11442393j,
            0.82243587-0.48686005j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.79034569-0.47505156j,  0.23396419-0.29777849j,
           -0.00511065-0.07900833j],
          [-0.35188971-0.13994607j,  0.84405186+0.02745754j,
            0.23396419-0.29777849j],
          [ 0.04724851+0.06352962j, -0.35188971-0.13994607j,
            0.79034569-0.47505156j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 8.36503851e-01-0.49202672j,  6.89180255e-04-0.23931354j,
           -2.95047454e-02-0.00538899j],
          [-1.20815343e-01-0.20657952j,  9.40929411e-01+0.01043793j,
            6.89180255e-04-0.23931354j],
          [-1.90290974e-02+0.02318328j, -1.20815343e-01-0.20657952j,
            8.36503851e-01-0.49202672j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.7435837 -0.45778403j, -0.23478411+0.40712023j,
           -0.04435716-0.12115707j],
          [ 0.40752662+0.23407802j,  0.74583635+0.04457821j,
           -0.23478411+0.40712023j],
          [ 0.04477695+0.12100256j,  0.40752662+0.23407802j,
            0.7435837 -0.45778403j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.82975784-0.4895499j , -0.09576818-0.24756613j,
           -0.03143274+0.01985634j],
          [-0.04155786-0.26217071j,  0.92677488+0.01293243j,
           -0.09576818-0.24756613j],
          [-0.03681747+0.00517351j, -0.04155786-0.26217071j,
            0.82975784-0.4895499j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.82450786-0.4876214j ,  0.14541966-0.24379464j,
           -0.01347074-0.04059553j],
          [-0.24820962-0.13774864j,  0.91575838+0.01487209j,
            0.14541966-0.24379464j],
          [ 0.01597446+0.03967712j, -0.24820962-0.13774864j,
            0.82450786-0.4876214j ]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.81113344-0.48270469j, -0.32151451-0.04935255j,
            0.05059937+0.02629024j],
          [ 0.25320962-0.20418655j,  0.8876898 +0.0198068j ,
           -0.32151451-0.04935255j],
          [ 0.021579  -0.05278086j,  0.25320962-0.20418655j,
            0.81113344-0.48270469j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 8.16246688e-01-0.48458507j,  1.97635549e-01-0.23916312j,
           -7.70698412e-04-0.05156789j],
          [-2.91032156e-01-0.10751322j,  8.98421509e-01+0.01792131j,
            1.97635549e-01-0.23916312j],
          [ 3.27658591e-02+0.03982762j, -2.91032156e-01-0.10751322j,
            8.16246688e-01-0.48458507j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.81182707-0.48295982j,  0.24084998+0.21566217j,
           -0.00361845+0.05616618j],
          [-0.09991609+0.30746652j,  0.88914565+0.01955111j,
            0.24084998+0.21566217j],
          [-0.03909223-0.04049113j, -0.09991609+0.30746652j,
            0.81182707-0.48295982j]],
         input_dims=(3,), output_dims=(3,))"
