,unitary
0,"Operator([[ 0.91065056-0.35456024j,  0.20311379-0.05675657j,
            0.02092034-0.009403j  ],
          [-0.20992475+0.02020194j,  0.95447133+0.00560783j,
            0.20311379-0.05675657j],
          [ 0.02288128-0.00158876j, -0.20992475+0.02020194j,
            0.91065056-0.35456024j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.92979134-0.35936404j, -0.03185754-0.07294099j,
           -0.00244724+0.00206487j],
          [ 0.00345063-0.07951971j,  0.9936442 +0.00078391j,
           -0.03185754-0.07294099j],
          [-0.003132  -0.00066577j,  0.00345063-0.07951971j,
            0.92979134-0.35936404j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.91487613-0.35562132j, -0.14042174+0.12834204j,
            0.00391709-0.018162j  ],
          [ 0.17722051+0.06915804j,  0.96311965+0.00454397j,
           -0.14042174+0.12834204j],
          [ 0.01202722+0.0141615j ,  0.17722051+0.06915804j,
            0.91487613-0.35562132j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.8789698 -0.3465941j , -0.2036753 +0.25041819j,
           -0.00460293-0.05541248j],
          [ 0.28019444+0.16026221j,  0.88962364+0.01356387j,
           -0.2036753 +0.25041819j],
          [ 0.02213426+0.05100788j,  0.28019444+0.16026221j,
            0.8789698 -0.3465941j ]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.8851318 -0.34814505j,  0.18687233-0.24081106j,
           -0.00631514-0.04884256j],
          [-0.26105906-0.15735121j,  0.90223781+0.01201921j,
            0.18687233-0.24081106j],
          [ 0.01751505+0.04602934j, -0.26105906-0.15735121j,
            0.8851318 -0.34814505j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.92543574-0.3582715j , -0.12246469-0.01238765j,
            0.00729153+0.0024512j ],
          [ 0.10978563-0.05566119j,  0.9847306 +0.00188273j,
           -0.12246469-0.01238765j],
          [ 0.00527168-0.00560216j,  0.10978563-0.05566119j,
            0.92543574-0.3582715j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.92708181-0.35868444j,  0.06407602+0.08788123j,
           -0.0025183 +0.00544091j],
          [-0.02812654+0.10506067j,  0.98809926+0.00146754j,
            0.06407602+0.08788123j],
          [-0.00478785-0.00360857j, -0.02812654+0.10506067j,
            0.92708181-0.35868444j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.87617866-0.34589134j, -0.18661288+0.27281068j,
           -0.01439386-0.05668254j],
          [ 0.27234145+0.18729701j,  0.88390977+0.01426307j,
           -0.18661288+0.27281068j],
          [ 0.01410915+0.05675408j,  0.27234145+0.18729701j,
            0.87617866-0.34589134j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.91940043-0.35675705j,  0.15002853-0.06873922j,
            0.01030729-0.00934801j],
          [-0.16471713-0.01009492j,  0.97237911+0.00340422j,
            0.15002853-0.06873922j],
          [ 0.01349924+0.00337582j, -0.16471713-0.01009492j,
            0.91940043-0.35675705j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.91094304-0.35463369j,  0.12746661-0.16630591j,
           -0.00316607-0.02241229j],
          [-0.17880713-0.10924012j,  0.95506994+0.00553421j,
            0.12746661-0.16630591j],
          [ 0.00779103+0.02125169j, -0.17880713-0.10924012j,
            0.91094304-0.35463369j]],
         input_dims=(3,), output_dims=(3,))"
