,unitary
0,"Operator([[ 0.90419786-0.18179625j, -0.16707608-0.34851391j],
          [ 0.01939506-0.38600543j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90419786-0.18179625j,  0.31007957-0.23070982j],
          [-0.37515168-0.09293857j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90419786-0.18179625j,  0.38613914-0.01652035j],
          [-0.36251827+0.13400324j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.90419786-0.18179625j,  0.36953432+0.11322875j],
          [-0.29705672+0.24725223j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.90419786-0.18179625j, 0.07618284+0.37890967j],
          [0.07618284+0.37890967j, 0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90419786-0.18179625j, -0.21356329+0.32212898j],
          [ 0.32146824+0.21455659j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90419786-0.18179625j, -0.38637246-0.00962717j],
          [ 0.35262764-0.15820908j,  0.90419786-0.18179625j]],
         input_dims=(2,), output_dims=(2,))"
