,unitary
0,"Operator([[ 0.92502524-0.16355243j, -0.33205108-0.08556275j],
          [ 0.28258045-0.1942349j ,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.92502524-0.16355243j, -0.29887247+0.16808971j],
          [ 0.33839024+0.05541617j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j, -0.33824422-0.05630057j],
          [ 0.29843205-0.16887042j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j,  0.32821918-0.09925258j],
          [-0.34235364+0.01931047j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.92502524-0.16355243j,  0.15134651-0.30769j   ],
          [-0.24767701-0.23713921j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j, -0.32816843+0.09942026j],
          [ 0.34236346-0.01913556j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.92502524-0.16355243j, 0.06694712+0.33629896j],
          [0.05242788+0.33886609j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.92502524-0.16355243j, -0.34010254+0.04369405j],
          [ 0.33446564-0.07557542j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.92502524-0.16355243j, -0.31379301+0.13824924j],
          [ 0.34217395+0.02226863j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j,  0.02507654-0.34197964j],
          [-0.14082028-0.31264765j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
