,unitary
0,"Operator([[ 0.92502524-0.16355243j,  0.28972192-0.18341242j],
          [-0.33504858-0.07294762j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.92502524-0.16355243j, 0.0331565 +0.34129101j],
          [0.08588162+0.33196875j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.92502524-0.16355243j,  0.34034934-0.04172807j],
          [-0.33402335+0.07750683j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.92502524-0.16355243j, -0.20182757+0.27720848j],
          [ 0.28464549+0.19119585j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.92502524-0.16355243j, -0.17381839+0.29557753j],
          [ 0.26463314+0.21805552j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.92502524-0.16355243j,  0.11892239-0.32161525j],
          [-0.22199361-0.26133837j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.92502524-0.16355243j,  0.0139637 -0.34261337j],
          [-0.1305985 -0.31705353j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.92502524-0.16355243j,  0.30273977-0.1610203j ],
          [-0.33959899-0.04744927j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.92502524-0.16355243j, 0.10227432+0.32729019j],
          [0.01615339+0.34251712j, 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.92502524-0.16355243j, -0.00137085-0.34289507j],
          [-0.11629022-0.32257633j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
