,unitary
0,"Operator([[ 0.85030065-0.2171174j , -0.42769681-0.21662015j],
          [ 0.27148603-0.39515084j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.85030065-0.2171174j , -0.41986498+0.23143518j],
          [ 0.47942212+0.00180949j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.85030065-0.2171174j , -0.46870876+0.10080152j],
          [ 0.45965746-0.1362493j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.85030065-0.2171174j ,  0.43849657-0.19382881j],
          [-0.47774342+0.04012567j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85030065-0.2171174j ,  0.18778407-0.44111902j],
          [-0.37627975-0.29708988j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.85030065-0.2171174j , -0.44211055+0.18543762j],
          [ 0.47689204-0.04922227j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.85030065-0.2171174j , 0.18965477+0.44031797j],
          [0.04466196+0.47734071j, 0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.85030065-0.2171174j , -0.35988318+0.31675376j],
          [ 0.46768704+0.10544039j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.85030065-0.2171174j , -0.26793942+0.39756423j],
          [ 0.42574141+0.22043843j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.85030065-0.2171174j ,  0.1367724 -0.45950208j],
          [-0.3403261 -0.33767883j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
