,unitary
0,"Operator([[ 0.9827211 -0.08208352j, -0.03238685-0.16270408j],
          [ 0.00494609-0.16582238j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9827211 -0.08208352j, -0.08414464-0.14297275j],
          [ 0.05926004-0.15495088j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9827211 -0.08208352j, -0.01467279-0.16524599j],
          [-0.0129442 -0.16539037j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9827211 -0.08208352j, -0.07136648-0.14976098j],
          [ 0.04553281-0.1595252j ,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9827211 -0.08208352j, -0.07182797-0.14954019j],
          [ 0.04602453-0.15938403j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9827211 -0.08208352j, -0.06098969-0.15427827j],
          [ 0.03455041-0.16225842j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9827211 -0.08208352j, -0.04321877-0.16016761j],
          [ 0.01604871-0.16511804j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9827211 -0.08208352j, -0.11656744-0.11804049j],
          [ 0.09536973-0.13574292j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9827211 -0.08208352j, -0.04276136-0.16029034j],
          [ 0.01557727-0.16516318j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9827211 -0.08208352j,  0.16481382-0.01891909j],
          [-0.16566864+0.00868504j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
