,unitary
0,"Operator([[0.9027011 -0.18298657j, 0.12122286+0.37006981j],
          [0.03245833+0.38806327j, 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9027011 -0.18298657j, -0.38336926+0.06837148j],
          [ 0.37973158-0.08631672j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9027011 -0.18298657j, -0.38506959-0.05803499j],
          [ 0.33207269-0.20340692j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9027011 -0.18298657j, -0.33721385+0.19476515j],
          [ 0.38643965+0.04807332j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.9027011 -0.18298657j, 0.07736548+0.3816559j ],
          [0.07736548+0.3816559j , 0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9027011 -0.18298657j,  0.36377892+0.13896597j],
          [-0.28094668+0.26965832j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9027011 -0.18298657j,  0.38269004-0.07207622j],
          [-0.38054867+0.08263993j,  0.9027011 -0.18298657j]],
         input_dims=(2,), output_dims=(2,))"
