unitary
"Operator([[ 0.94460909-0.1427637j , -0.14197576-0.25918155j],
          [ 0.05904124-0.2895623j ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.29028185-0.05539533j],
          [ 0.2609464 -0.13870533j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.0962175 -0.27941794j],
          [-0.17449373-0.23850394j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.22067741-0.1965545j ],
          [-0.26890701-0.12256105j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.26959386+0.12104274j],
          [-0.22178227+0.19530698j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.17173508+0.24049793j],
          [ 0.23513678+0.17900527j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.29550155-0.00332051j],
          [ 0.28132214-0.09049889j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.12202899-0.26914888j],
          [ 0.03703982-0.29318978j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
