,unitary
0,"Operator([[ 0.94460909-0.1427637j , -0.13645601-0.26212964j],
          [ 0.0528968 -0.29074752j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[0.94460909-0.1427637j , 0.04416199+0.29220183j],
          [0.04416199+0.29220183j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.94460909-0.1427637j ,  0.15743461+0.25009305j],
          [-0.07649548+0.28544813j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.94460909-0.1427637j , -0.08411998+0.28329494j],
          [ 0.16408226+0.24578284j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.94460909-0.1427637j ,  0.2901728 +0.05596374j],
          [-0.26067424+0.13921613j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 9.44609090e-01-0.1427637j , -3.36431562e-04-0.29552002j],
          [-8.70107306e-02-0.28242048j,  9.44609090e-01-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.94460909-0.1427637j , -0.18872624+0.22740844j],
          [ 0.24750086+0.16147916j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.94460909-0.1427637j ,  0.02165088-0.29472603j],
          [-0.10778137-0.27516426j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.94460909-0.1427637j , -0.29356435-0.03394358j],
          [ 0.27042172-0.11918174j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[0.94460909-0.1427637j , 0.04609544+0.29190307j],
          [0.0422266 +0.29248779j, 0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
