unitary
"Operator([[ 0.85030065-0.2171174j , -0.34726491+0.33053884j],
          [ 0.4632224 +0.12358745j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.39775634-0.26765414j],
          [-0.47738426-0.04419406j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.44871181-0.16883884j],
          [ 0.31283601-0.36329393j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46630275+0.11140285j],
          [ 0.46262853-0.12579225j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47931428-0.01032812j],
          [ 0.41568629-0.23885928j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
