unitary
"Operator([[0.70788505-0.26414335j, 0.22901445+0.61374215j],
          [0.22901445+0.61374215j, 0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j,  0.04148377-0.65376307j],
          [-0.45960927-0.466783j  ,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j, -0.62114482+0.20810133j],
          [ 0.6056356 -0.24966492j,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j, -0.40829296-0.51227328j],
          [-0.02708852-0.65451758j,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j,  0.59748923+0.26857713j],
          [-0.27550082+0.59432848j,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j, -0.27872601-0.59282279j],
          [-0.17775051-0.63050123j,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.70788505-0.26414335j, -0.00321509-0.65507001j],
          [-0.42669268-0.49705171j,  0.70788505-0.26414335j]],
         input_dims=(2,), output_dims=(2,))"
