,unitary
0,"Operator([[ 0.85030065-0.2171174j , -0.10232155-0.46837928j],
          [-0.13475738-0.46009705j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.85030065-0.2171174j , -0.10413803+0.46797876j],
          [ 0.31575069+0.36076357j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.85030065-0.2171174j , -0.47857001-0.02862853j],
          [ 0.40625945-0.25456258j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.85030065-0.2171174j ,  0.36137161-0.31505461j],
          [-0.46817865-0.10323565j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85030065-0.2171174j ,  0.36431518-0.31164611j],
          [-0.46912775-0.09883319j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[8.50300645e-01-0.2171174j , 1.33051776e-04+0.47942552j],
          [2.29732074e-01+0.42079926j, 8.50300645e-01-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.85030065-0.2171174j ,  0.40074563+0.26315734j],
          [-0.22552303+0.42306998j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.85030065-0.2171174j , -0.41028242+0.24802658j],
          [ 0.47896697+0.02096393j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.85030065-0.2171174j , -0.4720675 -0.08367268j],
          [ 0.37416339-0.29975091j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.85030065-0.2171174j , -0.16895308-0.44866881j],
          [-0.06683301-0.47474435j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
