,unitary
0,"Operator([[ 0.9318629 -0.1567647j , -0.26726138-0.18875308j],
          [ 0.19079149-0.26581004j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9318629 -0.1567647j , -0.16777788-0.28090381j],
          [ 0.06663264-0.32033804j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9318629 -0.1567647j ,  0.10962946-0.30828194j],
          [-0.20446333-0.25544298j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9318629 -0.1567647j ,  0.29643333+0.13850506j],
          [-0.23479861+0.22787273j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9318629 -0.1567647j , -0.19367177+0.26371882j],
          [ 0.26929888+0.18583455j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9318629 -0.1567647j , -0.30311833-0.12318949j],
          [ 0.24612682-0.21558747j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9318629 -0.1567647j , -0.10263957-0.31067907j],
          [-0.00466257-0.32716147j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9318629 -0.1567647j ,  0.32081516+0.06429621j],
          [-0.28211913+0.16572617j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9318629 -0.1567647j , -0.05182043-0.32306503j],
          [-0.05673709-0.32223791j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9318629 -0.1567647j ,  0.30142136-0.12728523j],
          [-0.32647727-0.02165559j,  0.9318629 -0.1567647j ]],
         input_dims=(2,), output_dims=(2,))"
