unitary
"Operator([[ 0.94460909-0.1427637j , -0.23896745-0.17385842j],
          [ 0.17691565-0.236713j  ,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.20013284-0.21743744j],
          [ 0.12693704-0.26686922j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.29073411+0.05297048j],
          [ 0.29340275-0.03531317j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.20123368-0.21641904j],
          [ 0.12828968-0.26622162j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.23551571-0.17850642j],
          [ 0.1722445 -0.24013335j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
