unitary
"Operator([[0.92502524-0.16355243j, 0.10375641+0.32682337j],
          [0.01460107+0.3425868j , 0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.25585503-0.22829172j],
          [-0.31862396-0.12671889j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.34250428+0.01642336j],
          [ 0.3273707 -0.10201631j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.3162972 -0.13241974j],
          [ 0.25171452-0.23284911j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.13503848+0.31518806j],
          [-0.01877417+0.34238346j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.24715198-0.23768636j],
          [ 0.15066569-0.30802395j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.20932621-0.27159059j],
          [ 0.10350751-0.32690228j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.33863385-0.05390751j],
          [-0.33658817+0.06547756j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j, -0.32035293-0.12228208j],
          [ 0.25900054-0.22471677j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.92502524-0.16355243j,  0.27681482+0.20236714j],
          [-0.19064104+0.28501737j,  0.92502524-0.16355243j]],
         input_dims=(2,), output_dims=(2,))"
