unitary
"Operator([[ 0.85030065-0.2171174j , -0.47842558+0.03094846j],
          [ 0.43469543-0.20220961j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.24502299+0.41208322j],
          [ 0.41259112+0.24416677j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.46889209+0.09994525j],
          [ 0.45940783-0.13708864j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.46491229-0.1170701j ],
          [-0.46412532+0.12015214j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.40531439-0.25606462j],
          [-0.47846076-0.03039977j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
