,unitary
0,"Operator([[ 0.99230021-0.05518458j, -0.05562703-0.09591971j],
          [ 0.04464818-0.10149629j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99230021-0.05518458j, -0.02228764+0.1086196j ],
          [ 0.03419423+0.10547849j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99230021-0.05518458j, -0.10632549+0.03146185j],
          [ 0.1091584 +0.01947819j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.99230021-0.05518458j,  0.11082112+0.0036928j ],
          [-0.10972827+0.01595817j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99230021-0.05518458j,  0.10804177-0.0249386j ],
          [-0.11014079-0.01280487j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.99230021-0.05518458j, -0.04434065+0.10163102j],
          [ 0.05533634+0.0960877j ,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.99230021-0.05518458j,  0.04083545+0.10308939j],
          [-0.02915282+0.10698164j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.99230021-0.05518458j, -0.0898385 +0.06499232j],
          [ 0.09649103+0.05463001j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99230021-0.05518458j, -0.10462043+0.03673586j],
          [ 0.10804865+0.02490875j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99230021-0.05518458j,  0.04103917-0.10300846j],
          [-0.05220796-0.09782273j,  0.99230021-0.05518458j]],
         input_dims=(2,), output_dims=(2,))"
