,unitary
0,"Operator([[0.99376067-0.04972948j, 0.00498959+0.09970865j],
          [0.00498959+0.09970865j, 0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.99376067-0.04972948j,  0.09313126-0.03596218j],
          [-0.09625622-0.02648491j,  0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.99376067-0.04972948j,  0.09569358-0.02845084j],
          [-0.09805585-0.01875529j,  0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.99376067-0.04972948j, 0.00498959+0.09970865j],
          [0.00498959+0.09970865j, 0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.99376067-0.04972948j,  0.0964859 -0.02563555j],
          [-0.09856316-0.01587496j,  0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.99376067-0.04972948j, 0.00498959+0.09970865j],
          [0.00498959+0.09970865j, 0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[0.99376067-0.04972948j, 0.00498959+0.09970865j],
          [0.00498959+0.09970865j, 0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.99376067-0.04972948j, 0.00498959+0.09970865j],
          [0.00498959+0.09970865j, 0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.99376067-0.04972948j,  0.09399454-0.03364131j],
          [-0.09688348-0.02408945j,  0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.99376067-0.04972948j,  0.09981041+0.00214301j],
          [-0.09909783+0.01209671j,  0.99376067-0.04972948j]],
         input_dims=(2,), output_dims=(2,))"
