unitary
"Operator([[ 0.96135264-0.1207989j , -0.24140066-0.05417049j],
          [ 0.2204941 -0.11220993j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.14743546-0.19867437j],
          [ 0.09369922-0.22897418j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 9.61352645e-01-0.1207989j , -6.12120799e-02-0.23971191j],
          [ 3.46872268e-06-0.24740396j,  9.61352645e-01-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.02419896-0.24621765j],
          [-0.03746855-0.24455025j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.12041214-0.21612412j],
          [-0.17013878-0.17961491j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.07911745-0.23441234j],
          [-0.13465243-0.20755106j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.19016052-0.15826464j],
          [-0.22340419-0.10629811j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.145733  -0.19992651j],
          [-0.19066513-0.15765636j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.16150563-0.18741571j],
          [-0.2028522 -0.14163228j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[0.96135264-0.1207989j , 0.02608375+0.24602511j],
          [0.03559472+0.24483001j, 0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
