unitary
"Operator([[ 0.94460909-0.1427637j , -0.27362527-0.11163065j],
          [ 0.22841509-0.18750663j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.05727924+0.28991599j],
          [ 0.14039698+0.26004015j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.25262548+0.15333806j],
          [ 0.28665683+0.07183351j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.28714172+0.06987007j],
          [-0.25366894+0.15160561j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29513404-0.01510267j],
          [-0.28641546+0.07278994j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
