num_of_intervals,total_time,drift_parameter,taylor_truncate_len,init_seed,target_state_seed,final_cost
8.0,3.0,1.0,20.0,7.0,9.0,-0.6156579275244295
8.0,3.0,1.0,20.0,8.0,9.0,-0.6303160597432179
8.0,3.0,1.0,20.0,9.0,9.0,-0.3546404849385547
8.0,4.0,1.0,20.0,0.0,0.0,-0.468684924299644
8.0,4.0,1.0,20.0,1.0,0.0,-0.6694445046583261
8.0,4.0,1.0,20.0,2.0,0.0,-0.938220561551256
8.0,4.0,1.0,20.0,3.0,0.0,-0.9612028238928659
8.0,4.0,1.0,20.0,4.0,0.0,-0.7258586884381077
8.0,4.0,1.0,20.0,5.0,0.0,-0.5647094658098765
8.0,4.0,1.0,20.0,6.0,0.0,-0.8643732250407319
8.0,4.0,1.0,20.0,7.0,0.0,-0.9349919698474705
8.0,4.0,1.0,20.0,8.0,0.0,-0.3304067042635148
8.0,4.0,1.0,20.0,9.0,0.0,-0.6151556613030927
8.0,4.0,1.0,20.0,0.0,1.0,-0.438849583537719
8.0,4.0,1.0,20.0,1.0,1.0,-0.645904840724253
8.0,4.0,1.0,20.0,2.0,1.0,-0.9007430143903191
8.0,4.0,1.0,20.0,3.0,1.0,-0.7711753824631987
8.0,4.0,1.0,20.0,4.0,1.0,-0.7589935404242284
8.0,4.0,1.0,20.0,5.0,1.0,-0.6666430492207311
8.0,4.0,1.0,20.0,6.0,1.0,-0.8870306732486275
8.0,4.0,1.0,20.0,7.0,1.0,-0.8487868992265487
8.0,4.0,1.0,20.0,8.0,1.0,-0.4694873397611415
8.0,4.0,1.0,20.0,9.0,1.0,-0.8692980838252755
8.0,4.0,1.0,20.0,0.0,2.0,-0.5710429699956527
8.0,4.0,1.0,20.0,1.0,2.0,-0.9632842818987899
8.0,4.0,1.0,20.0,2.0,2.0,-0.9383040789885171
8.0,4.0,1.0,20.0,3.0,2.0,-0.5192215467619328
8.0,4.0,1.0,20.0,4.0,2.0,-0.9491039569192642
8.0,4.0,1.0,20.0,5.0,2.0,-0.9991596907096354
8.0,4.0,1.0,20.0,6.0,2.0,-0.6918869113588042
8.0,4.0,1.0,20.0,7.0,2.0,-0.9745999477877648
8.0,4.0,1.0,20.0,8.0,2.0,-0.9790119840262589
8.0,4.0,1.0,20.0,9.0,2.0,-0.7331414559426978
8.0,4.0,1.0,20.0,0.0,3.0,-0.6138478425952314
8.0,4.0,1.0,20.0,1.0,3.0,-0.8575712136752148
8.0,4.0,1.0,20.0,2.0,3.0,-0.8148978526649064
8.0,4.0,1.0,20.0,3.0,3.0,-0.597784622501537
8.0,4.0,1.0,20.0,4.0,3.0,-0.7430954284052277
8.0,4.0,1.0,20.0,5.0,3.0,-0.8770732419648115
8.0,4.0,1.0,20.0,6.0,3.0,-0.9213358161639918
8.0,4.0,1.0,20.0,7.0,3.0,-0.9253390161969127
8.0,4.0,1.0,20.0,8.0,3.0,-0.8430020513603629
8.0,4.0,1.0,20.0,9.0,3.0,-0.9118108388349514
8.0,4.0,1.0,20.0,0.0,4.0,-0.9186201958944492
8.0,4.0,1.0,20.0,1.0,4.0,-0.8459156216876544
8.0,4.0,1.0,20.0,2.0,4.0,-0.6728112866045579
8.0,4.0,1.0,20.0,3.0,4.0,-0.8834991395149765
8.0,4.0,1.0,20.0,4.0,4.0,-0.9446179436052891
8.0,4.0,1.0,20.0,5.0,4.0,-0.8777692214686423
8.0,4.0,1.0,20.0,6.0,4.0,-0.6597903401364662
