,unitary
0,"Operator([[ 0.94457208-0.25640509j,  0.09126295-0.18236269j,
           -0.01124318-0.01812528j],
          [-0.13555926-0.15234423j,  0.95750505+0.00373084j,
            0.09126295-0.18236269j],
          [-0.00432187+0.02088675j, -0.13555926-0.15234423j,
            0.94457208-0.25640509j]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.95327022-0.25794894j,  0.0646748 -0.14282605j,
           -0.00738944-0.01007592j],
          [-0.09960175-0.12108511j,  0.97510563+0.00218692j,
            0.0646748 -0.14282605j],
          [-0.00347359+0.01200259j, -0.09960175-0.12108511j,
            0.95327022-0.25794894j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 9.36977795e-01-0.25505639j, -1.76483405e-01-0.15820556j,
            6.26989202e-04+0.02903555j],
          [ 1.29253494e-01-0.19866788j,  9.42137695e-01+0.00507731j,
           -1.76483405e-01-0.15820556j],
          [-9.40209594e-03-0.0274783j ,  1.29253494e-01-0.19866788j,
            9.36977795e-01-0.25505639j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 9.64730560e-01-2.59981609e-01j,
            5.41550273e-03+4.09200241e-02j,
           -8.42767144e-04+1.49413653e-04j],
          [ 5.41550273e-03+4.09200241e-02j,
            9.98294759e-01+1.49920081e-04j,
            5.41550273e-03+4.09200241e-02j],
          [-8.42767144e-04+1.49413653e-04j,
            5.41550273e-03+4.09200241e-02j,
            9.64730560e-01-2.59981609e-01j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.94844452-0.25709254j,  0.00361476+0.1845013j ,
           -0.01737584-0.0008419j ],
          [ 0.04450419+0.17908984j,  0.96534095+0.00304371j,
            0.00361476+0.1845013j ],
          [-0.01602608+0.00676708j,  0.04450419+0.17908984j,
            0.94844452-0.25709254j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.94420204-0.2563394j , -0.17643282-0.10570226j,
            0.00852629+0.01996023j],
          [ 0.14286239-0.14795893j,  0.95675628+0.00379648j,
           -0.17643282-0.10570226j],
          [ 0.00113948-0.0216751j ,  0.14286239-0.14795893j,
            0.94420204-0.2563394j ]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.94913738-0.25721552j, -0.02372493-0.17926769j,
           -0.01643595+0.00291551j],
          [-0.02372493-0.17926769j,  0.96674294+0.00292073j,
           -0.02372493-0.17926769j],
          [-0.01643595+0.00291551j, -0.02372493-0.17926769j,
            0.94913738-0.25721552j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.93194219-0.25416169j, -0.1559055 +0.2035003j ,
           -0.00597481-0.03363016j],
          [ 0.20347493+0.15593861j,  0.93194773+0.00596934j,
           -0.1559055 +0.2035003j ],
          [ 0.00596386+0.0336321j ,  0.20347493+0.15593861j,
            0.93194219-0.25416169j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.93202278-0.25417601j, -0.15547806+0.20345407j,
           -0.006042  -0.03353499j],
          [ 0.20305018+0.15600516j,  0.93211081+0.00595507j,
           -0.15547806+0.20345407j],
          [ 0.00586799+0.03356587j,  0.20305018+0.15600516j,
            0.93202278-0.25417601j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.9605362 -0.25923786j,  0.01321133+0.09982601j,
           -0.00503713+0.00089316j],
          [ 0.01321133+0.09982601j,  0.98980789+0.0008958j ,
            0.01321133+0.09982601j],
          [-0.00503713+0.00089316j,  0.01321133+0.09982601j,
            0.9605362 -0.25923786j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.94500275-0.25648156j, -0.16688978-0.1135709j ,
            0.00593735+0.02003036j],
          [ 0.13160101-0.15307424j,  0.95837652+0.00365444j,
           -0.16688978-0.1135709j ],
          [-0.00131538-0.02085035j,  0.13160101-0.15307424j,
            0.94500275-0.25648156j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.95544469-0.25833474j,  0.01868514+0.14118661j,
           -0.01012864+0.00179628j],
          [ 0.01868514+0.14118661j,  0.97950557+0.00180066j,
            0.01868514+0.14118661j],
          [-0.01012864+0.00179628j,  0.01868514+0.14118661j,
            0.95544469-0.25833474j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 0.95260956-0.25783171j,  0.02941611-0.1581745j ,
           -0.01182449-0.00579029j],
          [-0.0695495 -0.14507704j,  0.97376883+0.00230425j,
            0.02941611-0.1581745j ],
          [-0.00911189+0.00950366j, -0.0695495 -0.14507704j,
            0.95260956-0.25783171j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 0.95731236-0.25866606j,  0.09590602-0.08588686j,
            0.0016484 -0.00822632j],
          [-0.11494613-0.05798193j,  0.9832847 +0.00146881j,
            0.09590602-0.08588686j],
          [ 0.00437656+0.00715789j, -0.11494613-0.05798193j,
            0.95731236-0.25866606j]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.94751927-0.2569283j ,  0.17089233-0.08157622j,
            0.01273331-0.01319353j],
          [-0.18622958-0.03431343j,  0.96346872+0.00320792j,
            0.17089233-0.08157622j],
          [ 0.01649449+0.00800863j, -0.18622958-0.03431343j,
            0.94751927-0.2569283j ]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.95360867-0.25800899j,  0.14020978-0.06523358j,
            0.00861022-0.00857438j],
          [-0.1523521 -0.02651489j,  0.97579049+0.00212681j,
            0.14020978-0.06523358j],
          [ 0.01103377+0.00509036j, -0.1523521 -0.02651489j,
            0.95360867-0.25800899j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 0.94923979-2.57233692e-01j, -0.1759444 +3.92814819e-02j,
            0.01557301-5.71493130e-03j],
          [ 0.18010555-7.83944587e-03j,  0.96695017+2.90254887e-03j,
           -0.1759444 +3.92814819e-02j],
          [ 0.01658852+9.94784239e-06j,  0.18010555-7.83944587e-03j,
            0.94923979-2.57233692e-01j]],
         input_dims=(3,), output_dims=(3,))"
17,"Operator([[ 0.94725426-0.25688126j,  0.0730351 -0.17618485j,
           -0.01194668-0.01426274j],
          [-0.11635189-0.1511207j ,  0.96293248+0.00325495j,
            0.0730351 -0.17618485j],
          [-0.00631174+0.01750174j, -0.11635189-0.1511207j ,
            0.94725426-0.25688126j]],
         input_dims=(3,), output_dims=(3,))"
18,"Operator([[ 9.42293125e-01-0.25600044j,  1.46086143e-01-0.15699442j,
            3.68942004e-04-0.02364093j],
          [-1.81896003e-01-0.11358809j,  9.52893531e-01+0.00413505j,
            1.46086143e-01-0.15699442j],
          [ 8.47955016e-03+0.02207095j, -1.81896003e-01-0.11358809j,
            9.42293125e-01-0.25600044j]],
         input_dims=(3,), output_dims=(3,))"
19,"Operator([[ 0.93229178-0.25422381j, -0.15404337+0.20329871j,
           -0.00626604-0.03321586j],
          [ 0.20162447+0.15622836j,  0.93265516+0.00590743j,
           -0.15404337+0.20329871j],
          [ 0.0055477 +0.03334335j,  0.20162447+0.15622836j,
            0.93229178-0.25422381j]],
         input_dims=(3,), output_dims=(3,))"
