,unitary
0,"Operator([[ 0.84113727-0.4937271j ,  0.21027875-0.06226244j,
            0.02307163-0.00977583j],
          [-0.21309801+0.0517977j ,  0.9506505 +0.00872325j,
            0.21027875-0.06226244j],
          [ 0.02392377-0.00745121j, -0.21309801+0.0517977j ,
            0.84113727-0.4937271j ]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.80600794-0.48081897j,  0.335215  -0.05376887j,
            0.06183996-0.00894166j],
          [-0.3168591 +0.12190365j,  0.87693154+0.02169539j,
            0.335215  -0.05376887j],
          [ 0.05293762-0.0331925j , -0.3168591 +0.12190365j,
            0.80600794-0.48081897j]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.74229547-0.45730728j, -0.40978099-0.23440156j,
            0.04569202+0.12212769j],
          [ 0.23657085-0.40853248j,  0.74312958+0.04504803j,
           -0.40978099-0.23440156j],
          [-0.04439447-0.12260532j,  0.23657085-0.40853248j,
            0.74229547-0.45730728j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.86300225-0.50174264j,  0.0153418 +0.0569468j ,
           -0.00166145+0.00060851j],
          [ 0.0153418 +0.0569468j ,  0.99651543+0.00061695j,
            0.0153418 +0.0569468j ],
          [-0.00166145+0.00060851j,  0.0153418 +0.0569468j ,
            0.86300225-0.50174264j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.75048145-0.4603358j , -0.21209032+0.40630452j,
           -0.05125956-0.11034189j],
          [ 0.38749435+0.24477295j,  0.76032858+0.04206086j,
           -0.21209032+0.40630452j],
          [ 0.03248674+0.11724968j,  0.38749435+0.24477295j,
            0.75048145-0.4603358j ]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.81897055-0.48558644j, -0.29716768+0.05306128j,
            0.04789629-0.00865244j],
          [ 0.2836055 -0.10340236j,  0.90413803+0.01691633j,
           -0.29716768+0.05306128j],
          [ 0.04212702-0.02437692j,  0.2836055 -0.10340236j,
            0.81897055-0.48558644j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.80554685-0.4806493j ,  0.28990959-0.17904522j,
            0.0375463 -0.05055738j],
          [-0.34061787-0.00917748j,  0.87596369+0.02186522j,
            0.28990959-0.17904522j],
          [ 0.06133947+0.01425631j, -0.34061787-0.00917748j,
            0.80554685-0.4806493j ]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.75585113-0.46232112j, -0.19646362+0.40361828j,
           -0.05466787-0.10224482j],
          [ 0.37263307+0.25030035j,  0.77160917+0.04009921j,
           -0.19646362+0.40361828j],
          [ 0.02462569+0.11329675j,  0.37263307+0.25030035j,
            0.75585113-0.46232112j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 7.72365169e-01-0.46842068j, -1.40519355e-01+0.39321512j,
           -6.41243762e-02-0.07455441j],
          [ 3.19034053e-01+0.26940878j,  8.06295590e-01+0.03405565j,
           -1.40519355e-01+0.39321512j],
          [-5.66972663e-04+0.09833603j,  3.19034053e-01+0.26940878j,
            7.72365169e-01-0.46842068j]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.84421279-0.49485541j, -0.05327828-0.1977622j ,
           -0.02045091+0.00749574j],
          [-0.05327828-0.1977622j ,  0.95710269+0.00758449j,
           -0.05327828-0.1977622j ],
          [-0.02045091+0.00749574j, -0.05327828-0.1977622j ,
            0.84421279-0.49485541j]],
         input_dims=(3,), output_dims=(3,))"
10,"Operator([[ 0.75978069-0.46377337j, -0.36585047-0.24761323j,
            0.02296227+0.10936831j],
          [ 0.19194883-0.39788758j,  0.77986374+0.03866258j,
           -0.36585047-0.24761323j],
          [-0.05337793-0.0981809j ,  0.19194883-0.39788758j,
            0.75978069-0.46377337j]],
         input_dims=(3,), output_dims=(3,))"
11,"Operator([[ 0.80168389-0.47922748j,  0.09128442+0.33883618j,
           -0.06297981+0.02312367j],
          [ 0.09128442+0.33883618j,  0.86785487+0.02328756j,
            0.09128442+0.33883618j],
          [-0.06297981+0.02312367j,  0.09128442+0.33883618j,
            0.80168389-0.47922748j]],
         input_dims=(3,), output_dims=(3,))"
12,"Operator([[ 0.83194214-0.49035202j,  0.25162413-0.0538312j ,
            0.03379725-0.00851036j],
          [-0.24461242+0.07985779j,  0.93135814+0.012125j  ,
            0.25162413-0.0538312j ],
          [ 0.03128683-0.01535625j, -0.24461242+0.07985779j,
            0.83194214-0.49035202j]],
         input_dims=(3,), output_dims=(3,))"
13,"Operator([[ 0.81036852-0.48242332j,  0.2933467 -0.14551021j,
            0.04246059-0.03927064j],
          [-0.32674347+0.02154566j,  0.88608432+0.02008874j,
            0.2933467 -0.14551021j],
          [ 0.05778359+0.00247825j, -0.32674347+0.02154566j,
            0.81036852-0.48242332j]],
         input_dims=(3,), output_dims=(3,))"
14,"Operator([[ 0.84470708-0.49503673j,  0.01538121-0.20179256j,
           -0.02012748-0.00683024j],
          [-0.1146703 -0.16675593j,  0.95813965+0.00740142j,
            0.01538121-0.20179256j],
          [-0.0109464 +0.01821933j, -0.1146703 -0.16675593j,
            0.84470708-0.49503673j]],
         input_dims=(3,), output_dims=(3,))"
15,"Operator([[ 0.7761968 -0.46983461j,  0.1890744 -0.3635122j ,
           -0.03992975-0.08537759j],
          [-0.34609655-0.21933406j,  0.81434231+0.03265114j,
            0.1890744 -0.3635122j ],
          [ 0.02486726+0.0909139j , -0.34609655-0.21933406j,
            0.7761968 -0.46983461j]],
         input_dims=(3,), output_dims=(3,))"
16,"Operator([[ 8.58511024e-01-0.50009733j, -4.51683554e-02+0.10381892j,
           -3.56281688e-03-0.00549923j],
          [ 9.12089903e-02+0.06707807j,  9.87095582e-01+0.00228401j,
           -4.51683554e-02+0.10381892j],
          [ 8.32472183e-04+0.0064994j ,  9.12089903e-02+0.06707807j,
            8.58511024e-01-0.50009733j]],
         input_dims=(3,), output_dims=(3,))"
17,"Operator([[ 0.85145508-0.49751128j,  0.08248598-0.14319552j,
           -0.00483002-0.01321224j],
          [-0.14325707-0.08237904j,  0.97229532+0.004901j  ,
            0.08248598-0.14319552j],
          [ 0.00484974+0.01320501j, -0.14325707-0.08237904j,
            0.85145508-0.49751128j]],
         input_dims=(3,), output_dims=(3,))"
18,"Operator([[ 0.80343122-0.47987067j, -0.09009988-0.3344393j ,
           -0.06123248+0.02248049j],
          [-0.09009988-0.3344393j ,  0.87152279+0.0226443j ,
           -0.09009988-0.3344393j ],
          [-0.06123248+0.02248049j, -0.09009988-0.3344393j ,
            0.80343122-0.47987067j]],
         input_dims=(3,), output_dims=(3,))"
19,"Operator([[ 0.78867293-0.47443512j, -0.21020589+0.31963401j,
           -0.01869846-0.07876719j],
          [ 0.34232592+0.17077876j,  0.84053977+0.02807214j,
           -0.21020589+0.31963401j],
          [ 0.03673887+0.07213985j,  0.34232592+0.17077876j,
            0.78867293-0.47443512j]],
         input_dims=(3,), output_dims=(3,))"
