unitary
"Operator([[ 0.96135264-0.1207989j , -0.23041541-0.09009695j],
          [ 0.20096201-0.14430174j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.2197597 -0.1136415j ],
          [ 0.18481255-0.16447809j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.02156634-0.24646219j],
          [-0.04007983-0.24413588j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.1276448 -0.21193283j],
          [-0.17610965-0.17376452j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.10538294+0.22383734j],
          [-0.0467286 +0.24295094j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.00512372-0.2473509j ],
          [-0.06616003-0.23839373j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.00613006-0.247328j  ],
          [-0.05525044-0.24115578j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.12511189+0.21343789j],
          [-0.06841709+0.2377558j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.08898109+0.23084862j],
          [-0.02910202+0.24568637j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.10963894+0.22178373j],
          [ 0.1611007 +0.1877639j ,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
