unitary
"Operator([[ 0.96135264-0.1207989j , -0.15611065-0.19193276j],
          [ 0.10377262-0.22458843j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.12738808+0.21208724j],
          [ 0.17589911+0.17397764j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.14701314+0.19898707j],
          [-0.09321267+0.22917268j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j , -0.12597496+0.21292963j],
          [ 0.17473834+0.17514346j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.96135264-0.1207989j ,  0.19335845-0.15434128j],
          [-0.22553204-0.10170554j,  0.96135264-0.1207989j ]],
         input_dims=(2,), output_dims=(2,))"
