unitary
"Operator([[ 0.85030065-0.2171174j ,  0.41340872-0.24277989j],
          [-0.47919517-0.01486069j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.011798  +0.47928035j],
          [ 0.24013296+0.41495181j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.40817194+0.25148462j],
          [-0.23763642+0.41638657j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.1906325 +0.43989555j],
          [ 0.37819292+0.29465058j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.17988888+0.44439716j],
          [ 0.37092269+0.30375188j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.06844301-0.47451491j],
          [-0.28755896-0.38361269j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.3884447 -0.28099744j],
          [ 0.20617495-0.43282876j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
