,unitary
0,"Operator([[ 0.74186136-0.4571466j , -0.4100979 -0.2352755j ,
            0.04554313+0.12267718j],
          [ 0.23640585-0.40944733j,  0.74221742+0.04520633j,
           -0.4100979 -0.2352755j ],
          [-0.04486563-0.12292657j,  0.23640585-0.40944733j,
            0.74186136-0.4571466j ]],
         input_dims=(3,), output_dims=(3,))"
1,"Operator([[ 0.74917794-0.4598537j ,  0.4026755 +0.22355409j,
            0.04604169+0.11411904j],
          [-0.23587623+0.39558361j,  0.75759002+0.0425368j ,
            0.4026755 +0.22355409j],
          [-0.03891272-0.11674243j, -0.23587623+0.39558361j,
            0.74917794-0.4598537j ]],
         input_dims=(3,), output_dims=(3,))"
2,"Operator([[ 0.83976363-0.49322307j,  0.09040261+0.20652381j,
           -0.02110811+0.01605564j],
          [ 0.02557962+0.2239875j ,  0.94776861+0.00923171j,
            0.09040261+0.20652381j],
          [-0.02648397+0.00139108j,  0.02557962+0.2239875j ,
            0.83976363-0.49322307j]],
         input_dims=(3,), output_dims=(3,))"
3,"Operator([[ 0.80693298-0.48115937j,  0.04586777+0.33385484j,
           -0.06119893+0.0060514j ],
          [ 0.12805217+0.31171389j,  0.87887324+0.02135465j,
            0.04586777+0.33385484j],
          [-0.05057971+0.0349803j ,  0.12805217+0.31171389j,
            0.80693298-0.48115937j]],
         input_dims=(3,), output_dims=(3,))"
4,"Operator([[ 0.85179163-0.49763466j, -0.11987976-0.11068732j,
           -0.00130584+0.01364663j],
          [ 0.04805178-0.15592905j,  0.97300129+0.00477624j,
           -0.11987976-0.11068732j],
          [-0.00981357-0.00957233j,  0.04805178-0.15592905j,
            0.85179163-0.49763466j]],
         input_dims=(3,), output_dims=(3,))"
5,"Operator([[ 0.75567067-0.46225441j, -0.40086686-0.20273439j,
            0.05161384+0.10403481j],
          [ 0.24477117-0.37667299j,  0.77123007+0.04016516j,
           -0.40086686-0.20273439j],
          [-0.02811221-0.11268067j,  0.24477117-0.37667299j,
            0.75567067-0.46225441j]],
         input_dims=(3,), output_dims=(3,))"
6,"Operator([[ 0.84635546-0.49564132j, -0.0454926 +0.18860627j,
           -0.01554186-0.01177558j],
          [ 0.13408238+0.14022773j,  0.96159767+0.00679084j,
           -0.0454926 +0.18860627j],
          [-0.00425191+0.01902984j,  0.13408238+0.14022773j,
            0.84635546-0.49564132j]],
         input_dims=(3,), output_dims=(3,))"
7,"Operator([[ 0.76045026-0.46402076j,  0.24909133-0.36335105j,
           -0.02151789-0.10893411j],
          [-0.39791005-0.18904514j,  0.7812702 +0.03841769j,
            0.24909133-0.36335105j],
          [ 0.05419488+0.0969153j , -0.39791005-0.18904514j,
            0.76045026-0.46402076j]],
         input_dims=(3,), output_dims=(3,))"
8,"Operator([[ 0.76387759-0.4652869j ,  0.19418365-0.38827855j,
           -0.04857619-0.09577031j],
          [-0.36295574-0.23818199j,  0.78846928+0.0371638j ,
            0.19418365-0.38827855j],
          [ 0.02504551+0.10442376j, -0.36295574-0.23818199j,
            0.76387759-0.4652869j ]],
         input_dims=(3,), output_dims=(3,))"
9,"Operator([[ 0.80128679-0.4790813j ,  0.02627496+0.35095884j,
           -0.06749279-0.00168613j],
          [ 0.15358557+0.31666062j,  0.86702128+0.02343373j,
            0.02627496+0.35095884j],
          [-0.05036596+0.04495987j,  0.15358557+0.31666062j,
            0.80128679-0.4790813j ]],
         input_dims=(3,), output_dims=(3,))"
