unitary
"Operator([[ 0.97517033-0.0978434j , -0.16393655-0.11222437j],
          [ 0.1383732 -0.14255652j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.14146404-0.13948989j],
          [ 0.11093181-0.16481394j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.19230137-0.04989675j],
          [ 0.17855519-0.08710652j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.1532191 +0.12646506j],
          [-0.12504019+0.15438411j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.16235777-0.11449654j],
          [ 0.13637447-0.14446974j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.1110972 -0.1647025j ],
          [ 0.07616132-0.18349103j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.03131652-0.19618557j],
          [-0.06966833-0.18605329j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j ,  0.04182174+0.19421752j],
          [-0.00240302+0.1986548j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.03007317-0.19638001j],
          [-0.00954097-0.1984401j ,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.97517033-0.0978434j , -0.06711682-0.18698887j],
          [ 0.02863   -0.19659559j,  0.97517033-0.0978434j ]],
         input_dims=(2,), output_dims=(2,))"
