unitary
"Operator([[ 0.85030065-0.2171174j , -0.37031703+0.30448997j],
          [ 0.47096404+0.08967565j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.40996387+0.24855276j],
          [ 0.47893968+0.02157842j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.21689321-0.4275584j ],
          [-0.39532411-0.27123365j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.24526753-0.41193772j],
          [-0.41273597-0.24392184j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.4769221 -0.0489301j ],
          [-0.44199686+0.18570844j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
