,unitary
0,"Operator([[ 0.998072  -0.02773136j, -0.05539995+0.00375378j],
          [ 0.05552292+0.0006718j ,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.998072  -0.02773136j, -0.05282186+0.01712008j],
          [ 0.05369099+0.01416063j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.998072  -0.02773136j,  0.01934832+0.05204698j],
          [-0.01642846+0.05304104j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.998072  -0.02773136j, -0.05496911+0.00785125j],
          [ 0.05532026+0.00478687j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.998072  -0.02773136j, -0.01256223-0.0540873j ],
          [ 0.00953954-0.0547014j ,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.998072  -0.02773136j, -0.05142726-0.02093997j],
          [ 0.05018519-0.02376327j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.998072  -0.02773136j, -0.05480939+0.00889813j],
          [ 0.05521891+0.005841j  ,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.998072  -0.02773136j, -0.04646704-0.03039835j],
          [ 0.04470742-0.03293162j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.998072  -0.02773136j, -0.05181441-0.01996278j],
          [ 0.050626  -0.02280908j,  0.998072  -0.02773136j]],
         input_dims=(2,), output_dims=(2,))"
