unitary
"Operator([[0.64170937-0.27131037j, 0.27935162+0.66072871j],
          [0.27935162+0.66072871j, 0.64170937-0.27131037j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.64170937-0.27131037j,  0.5331163 +0.47998622j],
          [-0.02710467+0.71684384j,  0.64170937-0.27131037j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.64170937-0.27131037j, -0.3017486 +0.6508053j ],
          [ 0.67708942+0.23695922j,  0.64170937-0.27131037j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.64170937-0.27131037j, -0.331448  -0.63619336j],
          [-0.22545514-0.68100642j,  0.64170937-0.27131037j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.64170937-0.27131037j,  0.56004202+0.44827748j],
          [-0.06861045+0.71406748j,  0.64170937-0.27131037j]],
         input_dims=(2,), output_dims=(2,))"
