,unitary
0,"Operator([[0.88064867-0.19898603j, 0.09476141+0.41938377j],
          [0.09476141+0.41938377j, 0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.88064867-0.19898603j,  0.37307392+0.21372489j],
          [-0.24493729+0.35336695j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[0.88064867-0.19898603j, 0.03333123+0.42866246j],
          [0.15421306+0.40134873j, 0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.88064867-0.19898603j,  0.42558879+0.0611282j ],
          [-0.35796024+0.23817418j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.88064867-0.19898603j, -0.34577366-0.25554462j],
          [ 0.2023086 -0.37938596j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[0.88064867-0.19898603j, 0.07830418+0.42276581j],
          [0.11107395+0.41536135j, 0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.88064867-0.19898603j,  0.20941816+0.37550833j],
          [-0.02762092+0.42906825j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.88064867-0.19898603j,  0.38011048-0.20094401j],
          [-0.42957978-0.01799132j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.88064867-0.19898603j,  0.41297099-0.1196555j ],
          [-0.42429736+0.06952857j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.88064867-0.19898603j, -0.30413103-0.30391905j],
          [ 0.14391267-0.40515629j,  0.88064867-0.19898603j]],
         input_dims=(2,), output_dims=(2,))"
