,unitary
0,"Operator([[ 0.87775053-0.20089548j, -0.32473538-0.28938201j],
          [ 0.16653584-0.40182189j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.87775053-0.20089548j, -0.08852015-0.42586289j],
          [-0.10552797-0.42197022j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.87775053-0.20089548j,  0.17061163-0.40010835j],
          [-0.32766009-0.28606622j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.87775053-0.20089548j,  0.40842   -0.14962661j],
          [-0.43284302+0.04291777j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.87775053-0.20089548j, 0.09704358+0.42400184j],
          [0.09704358+0.42400184j, 0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.87775053-0.20089548j, -0.3396191 -0.27176071j],
          [ 0.18760249-0.39242874j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.87775053-0.20089548j, -0.22045081-0.37496194j],
          [ 0.03540878-0.4335219j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.87775053-0.20089548j,  0.38602687-0.20044518j],
          [-0.43478352-0.0125819j ,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.87775053-0.20089548j, -0.19285749-0.38987306j],
          [ 0.00407663-0.43494643j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.87775053-0.20089548j,  0.41277296-0.13716231j],
          [-0.43134109+0.05603461j,  0.87775053-0.20089548j]],
         input_dims=(2,), output_dims=(2,))"
