,unitary
0,"Operator([[ 0.96939523-0.10815603j,  0.0105856 -0.22014339j],
          [-0.05884441-0.21239704j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j, -0.06209621+0.21146921j],
          [ 0.10717661+0.19258333j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.04451367-0.21585574j],
          [-0.0909932 -0.20073715j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j, -0.11028447-0.1908206j ],
          [ 0.06551615-0.21043479j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j, -0.18901927-0.11334408j],
          [ 0.15939052-0.15221638j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j,  0.02085967-0.21940838j],
          [-0.06870385-0.20941573j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j,  0.04120054-0.21651254j],
          [-0.0879063 -0.20210801j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j,  0.07908604-0.20571963j],
          [-0.12248146-0.18323061j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j,  0.22023016+0.00859318j],
          [-0.2129208 +0.0569201j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.96939523-0.10815603j,  0.07306567-0.20793406j],
          [-0.11709719-0.18671747j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
