,unitary
0,"Operator([[ 0.85030065-0.2171174j ,  0.44576684+0.17646747j],
          [-0.3065942 +0.36857678j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.85030065-0.2171174j , -0.40876897+0.25051303j],
          [ 0.47883086+0.02387158j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.85030065-0.2171174j ,  0.47098329+0.08957445j],
          [-0.37038245+0.3044104j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.85030065-0.2171174j , -0.30079007+0.37332852j],
          [ 0.44295134+0.18342016j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.85030065-0.2171174j , -0.18144328+0.44376479j],
          [ 0.37198363+0.3024517j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.85030065-0.2171174j ,  0.4734386 +0.07552971j],
          [-0.37927059+0.29326211j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.85030065-0.2171174j , -0.11521153-0.46537635j],
          [-0.12200568-0.46364152j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.85030065-0.2171174j , -0.35709192-0.31989718j],
          [ 0.16001076-0.45193518j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.85030065-0.2171174j ,  0.4731282 -0.07745033j],
          [-0.45234072+0.15886068j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.85030065-0.2171174j , -0.44411226-0.18059112j],
          [ 0.30316518-0.37140237j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
