,unitary
0,"Operator([[ 0.9827211 -0.08208352j, -0.16589141+0.00125157j],
          [ 0.16380032-0.02628651j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.9827211 -0.08208352j,  0.07353072-0.14871032j],
          [-0.09718229-0.13445121j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.9827211 -0.08208352j, -0.16401989+0.02487978j],
          [ 0.16587456-0.00267524j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.9827211 -0.08208352j, -0.13703563-0.09350275j],
          [ 0.11962501-0.11494078j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.9827211 -0.08208352j, -0.10899628-0.12506533j],
          [ 0.08673809-0.14141439j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.9827211 -0.08208352j, -0.11717163-0.11744077j],
          [ 0.09606504-0.13525174j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.9827211 -0.08208352j, -0.11690167-0.1177095j ],
          [ 0.09575424-0.13547196j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.9827211 -0.08208352j, -0.16499151-0.01730113j],
          [ 0.15983507-0.04443284j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.9827211 -0.08208352j,  0.12664848+0.10715264j],
          [-0.10711734+0.12667834j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.9827211 -0.08208352j, -0.01873042-0.16483537j],
          [-0.00887467-0.16565859j,  0.9827211 -0.08208352j]],
         input_dims=(2,), output_dims=(2,))"
