,unitary
0,"Operator([[ 0.95240675-0.13313589j,  0.20577673-0.18125163j],
          [-0.24759143-0.1178758j ,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.95240675-0.13313589j,  0.22009786-0.1635639j ],
          [-0.25651327-0.09693896j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.95240675-0.13313589j, -0.26253074+0.07920752j],
          [ 0.27418742+0.00418028j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.95240675-0.13313589j, 0.04545203+0.2704262j ],
          [0.03044636+0.27252383j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.95240675-0.13313589j, -0.26977098+0.04919183j],
          [ 0.27291925-0.02667024j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.95240675-0.13313589j, -0.25258238-0.1067631j ],
          [ 0.21362368-0.17193353j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.95240675-0.13313589j,  0.23416587+0.14269746j],
          [-0.18605923+0.20144026j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.95240675-0.13313589j, 0.03796368+0.27157868j],
          [0.03796368+0.27157868j, 0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.95240675-0.13313589j, -0.02930176-0.27264927j],
          [-0.04658715-0.27023297j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[ 0.95240675-0.13313589j, -0.26466548-0.07175235j],
          [ 0.23484423-0.14157826j,  0.95240675-0.13313589j]],
         input_dims=(2,), output_dims=(2,))"
