unitary
"Operator([[ 0.85030065-0.2171174j , -0.43832131+0.1942248j ],
          [ 0.47777947-0.03969414j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j , -0.47622857-0.05527381j],
          [ 0.39143022-0.27682347j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.22119867-0.42534691j],
          [-0.39804227-0.26722874j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.13549543-0.45988024j],
          [-0.33938676-0.33862291j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.45275087-0.15768796j],
          [-0.47292591+0.07867612j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.16444732-0.45033979j],
          [-0.3602205 -0.3163701j ,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.85030065-0.2171174j ,  0.38803489-0.28156308j],
          [-0.47552119-0.06106101j,  0.85030065-0.2171174j ]],
         input_dims=(2,), output_dims=(2,))"
