unitary
"Operator([[ 0.79938141-0.2399973j , -0.53103593-0.14625833j],
          [ 0.36265877-0.4145712j ,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.48970213+0.25215568j],
          [ 0.54761035-0.05927537j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.54952886-0.03753254j],
          [ 0.4379807 -0.33401133j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.54751536-0.06014643j],
          [-0.49010263+0.25137635j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j ,  0.10009031-0.5416388j ],
          [-0.38187808-0.39693802j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.79938141-0.2399973j , -0.54718673+0.06306615j],
          [ 0.49143656-0.24875845j,  0.79938141-0.2399973j ]],
         input_dims=(2,), output_dims=(2,))"
