,unitary
0,"Operator([[0.90789321-0.17879381j, 0.06355998+0.37379515j],
          [0.08291435+0.36998365j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.90789321-0.17879381j, -0.37895935-0.01234906j],
          [ 0.34598053-0.15511339j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.90789321-0.17879381j, -0.01849537-0.37870913j],
          [-0.1264772 -0.35744399j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[0.90789321-0.17879381j, 0.13290441+0.35510436j],
          [0.01166099+0.37898115j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[0.90789321-0.17879381j, 0.07326195+0.37201529j],
          [0.07326195+0.37201529j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.90789321-0.17879381j,  0.33380895+0.17981734j],
          [-0.24070411+0.29295771j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.90789321-0.17879381j,  0.2122753 -0.31416856j],
          [-0.31554521-0.21022347j,  0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[0.90789321-0.17879381j, 0.07326195+0.37201529j],
          [0.07326195+0.37201529j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[0.90789321-0.17879381j, 0.07326195+0.37201529j],
          [0.07326195+0.37201529j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[0.90789321-0.17879381j, 0.06444611+0.3736434j ],
          [0.08203684+0.37017921j, 0.90789321-0.17879381j]],
         input_dims=(2,), output_dims=(2,))"
