unitary
"Operator([[0.80703032-0.23706626j, 0.18937537+0.50659512j],
          [0.11469481+0.52853263j, 0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j,  0.34231508+0.41871474j],
          [-0.06147596+0.53732891j,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j, -0.15158193-0.51915755j],
          [-0.15327817-0.51865928j,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j, -0.13635691+0.52336263j],
          [ 0.39774619+0.36646911j,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j, -0.49625461+0.21501862j],
          [ 0.53370368-0.08753303j,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j, -0.52137265-0.14377833j],
          [ 0.36078152-0.40291232j,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.80703032-0.23706626j, -0.52248754-0.13967255j],
          [ 0.36393984-0.4000618j ,  0.80703032-0.23706626j]],
         input_dims=(2,), output_dims=(2,))"
