,unitary
0,"Operator([[ 0.96939523-0.10815603j, -0.22006256+0.01215054j],
          [ 0.21732919-0.03664953j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
1,"Operator([[ 0.96939523-0.10815603j, -0.22039524-0.0010506j ],
          [ 0.21474419-0.04959938j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
2,"Operator([[ 0.96939523-0.10815603j,  0.02238416-0.2192581j ],
          [-0.07015772-0.20893315j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
3,"Operator([[ 0.96939523-0.10815603j,  0.17094078-0.13912015j],
          [-0.19739913-0.09802423j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
4,"Operator([[ 0.96939523-0.10815603j,  0.19538622+0.10197741j],
          [-0.1681061 +0.14253247j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
5,"Operator([[ 0.96939523-0.10815603j,  0.13009736-0.17790402j],
          [-0.16610792-0.14485622j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
6,"Operator([[ 0.96939523-0.10815603j,  0.13382567-0.17511669j],
          [-0.16913023-0.14131571j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
7,"Operator([[ 0.96939523-0.10815603j,  0.17843217+0.12937204j],
          [-0.14553124+0.16551684j,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
8,"Operator([[ 0.96939523-0.10815603j,  0.14645827+0.16469712j],
          [-0.106558  +0.1929263j ,  0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
9,"Operator([[0.96939523-0.10815603j, 0.01691245+0.21974789j],
          [0.03193536+0.21807177j, 0.96939523-0.10815603j]],
         input_dims=(2,), output_dims=(2,))"
