unitary
"Operator([[ 0.94460909-0.1427637j , -0.23571689-0.17824068j],
          [ 0.17251522-0.23993893j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.04965645+0.29131843j],
          [ 0.1335291 +0.26363264j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.09846864+0.27863259j],
          [-0.01172912+0.29528735j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j , -0.09762545+0.27892914j],
          [ 0.17569435+0.23762089j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
"Operator([[ 0.94460909-0.1427637j ,  0.29551902+0.00083747j],
          [-0.28207261+0.08813191j,  0.94460909-0.1427637j ]],
         input_dims=(2,), output_dims=(2,))"
